CPSE,Material_Code,Material_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Normalized_Description,Normalized_Specification,Normalized_Material_Grade,Normalized_Size,Normalized_Coating,Normalized_Manufacturer,Normalized_Manufacturer_Part_No,Normalized_Unit,Normalization_Changed,Normalization_Rule_Count,Normalization_Rules_Applied
HPCL,HPCL-236423,PT100 RTD 4-wire 300,Instrumentation,Temperature Sensor,IEC 60751; 4-wire; 300 mm,Pt100,4-wire,300 mm,8 mm,SS,NOS,National Bearing Works,NAT-707-23,Mumbai Refinery,Active,18037,2025-08-05,pt100 rtd 4-wire 300,iec 60751; 4-wire; 300 mm,pt100,4-wire,ss,National Bearing Works,NAT-707-23,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-599289,FLOATING BALL VALVE 2 in,Valves,Ball Valve,API 608; 2 in; SS 316,SS 316,2 in,,,SS,NOS,Shree Valves & Fittings,SHR-838-79,Mathura Refinery,Active,13696,2024-06-24,floating ball valve 2 in,api 608; 2 in; ss 316,ss 316,2 in,ss,Shree Valves & Fittings,SHR-838-79,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-393162,GATE VALVE FLANGED 3 in ASTM A216 WCB,Valves,Gate Valve,API 600; 3 in; ASTM A216 WCB,ASTM A216 WCB,3 in,,,Painted,NOS,National Bearing Works,NAT-534-89,Chennai Refinery,Active,3157,2024-09-20,gate valve flanged 3 in astm a216 wcb,api 600; 3 in; astm a216 wcb,astm a216 wcb,3 in,painted,National Bearing Works,NAT-534-89,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-520031,POWER CABLE 25 sq mm XLPE Aluminium,Electrical,Cable,IS 7098; 25 sq mm; 1000 m,XLPE Aluminium,25 sq mm,1000 mm,,PVC,MTR,Larsen Engineering,LAR-669-76,Mathura Refinery,Active,11271,2025-11-24,power cable 25 sq mm xlpe aluminium,is 7098; 25 sq mm; 1000 m,xlpe aluminium,25 sq mm,pvc,Larsen Engineering,LAR-669-76,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-652634,HEX HEAD BOLT M12-40 MM GALVANIZED,Fasteners,Bolt,IS 1363; M12 x 40 mm; Galvanized,Carbon Steel,M12,40 mm,16 mm,Galvanized,NOS,National Bearing Works,NAT-648-54,Mathura Refinery,Active,12754,2024-03-06,hexagonal head bolt m12-40 mm galvanized,is 1363; m12 x 40 mm; galvanized,carbon steel,m12,galvanized,National Bearing Works,NAT-648-54,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-516041,PLAIN WASHER M12 ZINC PLATED,Fasteners,Washer,IS 2016; M12; Zinc Plated,Carbon Steel,M12,,,Zinc Plated,NOS,Hindustan Mechanical,HIN-118-60,Visakh Refinery,Active,3041,2024-01-16,plain washer m12 zinc plated,is 2016; m12; zinc plated,carbon steel,m12,zinc plated,Hindustan Mechanical,HIN-118-60,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-152728,MATERIAL: HEX BOLT M10 X 60 MM,Fasteners,Bolt,IS 1363; M10 x 60 mm; Galvanized,Carbon Steel,M10,60 mm,10 mm,Galvanized,NOS,Precision Fasteners,PRE-159-22,Vishakha Terminal,Active,6002,2025-02-17,material: hexagonal bolt m10 x 60 mm,is 1363; m10 x 60 mm; galvanized,carbon steel,m10,galvanized,Precision Fasteners,PRE-159-22,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-515707,FLOATING BALL VALVE 1 in,Valves,Ball Valve,API 608; 1 in; SS 316,SS 316,1 in,,,SS,NOS,Eastern Cables,EAS-206-15,Panipat Refinery,Active,5834,2025-10-19,floating ball valve 1 in,api 608; 1 in; ss 316,ss 316,1 in,ss,Eastern Cables,EAS-206-15,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-618041,XLPE CABLE 35 sq mm,Electrical,Cable,IS 7098; 35 sq mm; 100 m,XLPE Aluminium,35 sq mm,100 mm,,PVC,MTR,Apex Industrial Systems,APE-936-53,Vishakha Terminal,Active,20548,2025-04-03,xlpe cable 35 sq mm,is 7098; 35 sq mm; 100 m,xlpe aluminium,35 sq mm,pvc,Apex Industrial Systems,APE-936-53,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-722816,SPIRAL GASKET 4 in,Seals,Gasket,ASME B16.20; 4 in; Graphite/SS 316,Graphite/SS 316,4 in,,,SS,NOS,Bharat Industrial Works,BHA-147-56,Chennai Refinery,Active,24035,2025-10-04,spiral gasket 4 in,asme b16.20; 4 in; graphite/ss 316,graphite/ss 316,4 in,ss,Bharat Industrial Works,BHA-147-56,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-997106,FLANGE 4 in ASTM A105,Pipes & Fittings,Flange,ASME B16.5; 4 in; ASTM A105,ASTM A105,4 in,,,Bare,MTR,Metro Pumps & Valves,MET-796-32,Chennai Refinery,Active,6667,2024-07-12,flange 4 in astm a105,asme b16.5; 4 in; astm a105,astm a105,4 in,bare,Metro Pumps & Valves,MET-796-32,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-353054,HEXAGONAL BOLT M8X30 GALVANIZED,Fasteners,Bolt,IS 1363; M8 x 30 mm; Galvanized,Carbon Steel,M8,30 mm,10 mm,Galvanized,NOS,Metro Pumps & Valves,MET-543-65,Manali Terminal,Active,4014,2025-05-31,hexagonal bolt m8x30 galvanized,is 1363; m8 x 30 mm; galvanized,carbon steel,m8,galvanized,Metro Pumps & Valves,MET-543-65,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-374977,HIGH PRESSURE HYDRAULIC HOSE 1 in,Hoses,Hydraulic Hose,SAE 100 R2; 1 in; 5000 mm,Synthetic Rubber,1 in,5000 mm,,Rubber,MTR,Larsen Engineering,LAR-227-29,Mumbai Refinery,Active,16987,2024-09-18,high pressure hydraulic hose 1 in,sae 100 r2; 1 in; 5000 mm,synthetic rubber,1 in,rubber,Larsen Engineering,LAR-227-29,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-840433,DEEP GROOVE BEARING 6207,Bearings,Ball Bearing,ISO 15; Bearing 6207,Chrome Steel,6207,,,,NOS,Apex Industrial Systems,APE-936-56,Visakh Refinery,Active,9642,2025-11-14,deep groove bearing 6207,iso 15; bearing 6207,chrome steel,6207,,Apex Industrial Systems,APE-936-56,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-520878,GLOBE VALVE FLANGED 4 in ASTM A216 WCB,Valves,Globe Valve,API 623; 4 in; ASTM A216 WCB,ASTM A216 WCB,4 in,,,Painted,NOS,Shree Valves & Fittings,SHR-847-41,Mathura Refinery,Active,9540,2024-11-30,globe valve flanged 4 in astm a216 wcb,api 623; 4 in; astm a216 wcb,astm a216 wcb,4 in,painted,Shree Valves & Fittings,SHR-847-41,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-573704,WELD NECK FLANGE 1 in ASME B16.5,Pipes & Fittings,Flange,ASME B16.5; 1 in; ASTM A105,ASTM A105,1 in,,,Bare,MTR,Apex Industrial Systems,APE-370-12,Vishakha Terminal,Active,19174,2024-01-07,weld neck flange 1 in asme b16.5,asme b16.5; 1 in; astm a105,astm a105,1 in,bare,Apex Industrial Systems,APE-370-12,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-652150,GLOBE VALVE FLANGED 2 in ASTM A216 WCB,Valves,Globe Valve,API 623; 2 in; ASTM A216 WCB,ASTM A216 WCB,2 in,,,Painted,NOS,National Bearing Works,NAT-323-88,Mathura Refinery,Active,3664,2024-09-19,globe valve flanged 2 in astm a216 wcb,api 623; 2 in; astm a216 wcb,astm a216 wcb,2 in,painted,National Bearing Works,NAT-323-88,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-123602,HIGH PRESSURE HYDRAULIC HOSE 1/2 in,Hoses,Hydraulic Hose,SAE 100 R2; 1/2 in; 1000 mm,Synthetic Rubber,1/2 in,1000 mm,,Rubber,MTR,Eastern Cables,EAS-384-46,Panipat Refinery,Active,520,2025-03-01,high pressure hydraulic hose 1/2 in,sae 100 r2; 1/2 in; 1000 mm,synthetic rubber,1/2 in,rubber,Eastern Cables,EAS-384-46,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-237837,PRESSURE RELIEF VALVE 4 in SS 316,Safety,Safety Valve,API 526; 4 in; SS 316,SS 316,4 in,,,SS,NOS,Larsen Engineering,LAR-607-52,Paradip Refinery,Active,21432,2025-03-29,pressure relief valve 4 in stainless steel 316,api 526; 4 in; ss 316,ss 316,4 in,ss,Larsen Engineering,LAR-607-52,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-485291,90 DEGREE ELBOW 3 in ASME B16.9,Pipes & Fittings,Elbow,ASME B16.9; 3 in; ASTM A234 WPB,ASTM A234 WPB,3 in,,,Bare,MTR,Shree Valves & Fittings,SHR-337-12,Visakh Refinery,Active,6781,2025-12-18,90 degree elbow 3 in asme b16.9,asme b16.9; 3 in; astm a234 wpb,astm a234 wpb,3 in,bare,Shree Valves & Fittings,SHR-337-12,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-989383,HYD HOSE 3/4 in 5000 MM,Hoses,Hydraulic Hose,SAE 100 R2; 3/4 in; 5000 mm,Synthetic Rubber,3/4 in,5000 mm,,Rubber,MTR,Hindustan Mechanical,HIN-476-54,Vishakha Terminal,Active,22253,2023-12-30,hyd hose 3/4 in 5000 mm,sae 100 r2; 3/4 in; 5000 mm,synthetic rubber,3/4 in,rubber,Hindustan Mechanical,HIN-476-54,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-398925,GEAR OIL EP 90,Lubricants,Lubricant,IS 10522; EP 90,Mineral Oil,EP 90,,,,LTR,Hindustan Mechanical,HIN-309-23,Mumbai Refinery,Active,17934,2024-01-20,gear oil ep 90,is 10522; ep 90,mineral oil,ep 90,,Hindustan Mechanical,HIN-309-23,LTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-334379,HEX NUT M16 ZINC PLATED,Fasteners,Nut,IS 1364; M16; Zinc Plated,Carbon Steel,M16,,,Zinc Plated,NOS,Bharat Industrial Works,BHA-430-65,Visakh Refinery,Active,12057,2024-05-29,hexagonal nut m16 zinc plated,is 1364; m16; zinc plated,carbon steel,m16,zinc plated,Bharat Industrial Works,BHA-430-65,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-632312,RTD PT100 3-wire 300 MM,Instrumentation,Temperature Sensor,IEC 60751; 3-wire; 300 mm,Pt100,3-wire,300 mm,10 mm,SS,NOS,Supreme Engineering,SUP-980-66,Chennai Refinery,Active,10945,2024-03-30,rtd pt100 3-wire 300 mm,iec 60751; 3-wire; 300 mm,pt100,3-wire,ss,Supreme Engineering,SUP-980-66,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-575988,FLOATING BALL VALVE 4 in,Valves,Ball Valve,API 608; 4 in; SS 316,SS 316,4 in,,,SS,NOS,Hindustan Mechanical,HIN-136-72,Mathura Refinery,Active,54,2026-02-23,floating ball valve 4 in,api 608; 4 in; ss 316,ss 316,4 in,ss,Hindustan Mechanical,HIN-136-72,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-853195,BALL VALVE 1 in API 608,Valves,Ball Valve,API 608; 1 in; SS 316,SS 316,1 in,,,SS,NOS,Hindustan Mechanical,HIN-107-72,Visakh Refinery,Active,9633,2024-08-07,ball valve 1 in api 608,api 608; 1 in; ss 316,ss 316,1 in,ss,Hindustan Mechanical,HIN-107-72,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-507813,FLAT WASHER M20,Fasteners,Washer,IS 2016; M20; Galvanized,Carbon Steel,M20,,,Galvanized,NOS,Hindustan Mechanical,HIN-838-39,Ahmedabad Asset,Active,5625,2026-03-17,flat washer m20,is 2016; m20; galvanized,carbon steel,m20,galvanized,Hindustan Mechanical,HIN-838-39,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-599564,HEX BOLT M12 X 60 MM GALVANIZED,Fasteners,Bolt,IS 1363; M12 x 60 mm; Galvanized,Carbon Steel,M12,60 mm,12 mm,Galvanized,NOS,Larsen Engineering,LAR-534-68,Manali Terminal,Active,5077,2026-06-06,hexagonal bolt m12 x 60 mm galvanized,is 1363; m12 x 60 mm; galvanized,carbon steel,m12,galvanized,Larsen Engineering,LAR-534-68,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-270974,HEX NUT M8 ZINC PLATED,Fasteners,Nut,IS 1364; M8; Zinc Plated,Carbon Steel,M8,,,Zinc Plated,NOS,Prime Electricals,PRI-154-18,Mathura Refinery,Active,21882,2024-09-20,hexagonal nut m8 zinc plated,is 1364; m8; zinc plated,carbon steel,m8,zinc plated,Prime Electricals,PRI-154-18,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-264528,SWG 6 in,Seals,Gasket,ASME B16.20; 6 in; Graphite/SS 316,Graphite/SS 316,6 in,,,SS,NOS,Apex Industrial Systems,APE-915-89,Paradip Refinery,Inactive,2298,2024-01-29,swg 6 in,asme b16.20; 6 in; graphite/ss 316,graphite/ss 316,6 in,ss,Apex Industrial Systems,APE-915-89,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-858213,GATE VALVE FLANGED 6 in,Valves,Gate Valve,API 600; 6 in; ASTM A216 WCB,ASTM A216 WCB,6 in,,,Painted,NOS,Apex Industrial Systems,APE-784-51,Mumbai Refinery,Active,23822,2026-01-28,gate valve flanged 6 in,api 600; 6 in; astm a216 wcb,astm a216 wcb,6 in,painted,Apex Industrial Systems,APE-784-51,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-415025,FLANGE 3 in ASTM A105,Pipes & Fittings,Flange,ASME B16.5; 3 in; ASTM A105,ASTM A105,3 in,,,Bare,MTR,Supreme Engineering,SUP-708-29,Ahmedabad Asset,Active,7940,2024-09-19,flange 3 in astm a105,asme b16.5; 3 in; astm a105,astm a105,3 in,bare,Supreme Engineering,SUP-708-29,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-887655,RTD PT100 4-wire 150 MM,Instrumentation,Temperature Sensor,IEC 60751; 4-wire; 150 mm,Pt100,4-wire,150 mm,8 mm,SS,NOS,Bharat Industrial Works,BHA-401-64,Mathura Refinery,Active,7705,2025-11-30,rtd pt100 4-wire 150 mm,iec 60751; 4-wire; 150 mm,pt100,4-wire,ss,Bharat Industrial Works,BHA-401-64,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-864744,PRESSURE GAUGE 0-10 bar,Instrumentation,Pressure Gauge,EN 837-1; Range 0-10 bar,SS 304,0-10 bar,,,SS,NOS,Metro Pumps & Valves,MET-833-31,Chennai Refinery,Active,13782,2026-07-30,pressure gauge 0-10 bar,en 837-1; range 0-10 bar,ss 304,0-10 bar,ss,Metro Pumps & Valves,MET-833-31,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-122748,SWG 2 in,Seals,Gasket,ASME B16.20; 2 in; Graphite/SS 316,Graphite/SS 316,2 in,,,SS,NOS,Eastern Cables,EAS-316-80,Chennai Refinery,Active,3493,2025-06-08,swg 2 in,asme b16.20; 2 in; graphite/ss 316,graphite/ss 316,2 in,ss,Eastern Cables,EAS-316-80,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-750505,FLAT WASHER M16,Fasteners,Washer,IS 2016; M16; Galvanized,Carbon Steel,M16,,,Galvanized,NOS,Shree Valves & Fittings,SHR-676-55,Mehsana Asset,Active,19256,2025-06-07,flat washer m16,is 2016; m16; galvanized,carbon steel,m16,galvanized,Shree Valves & Fittings,SHR-676-55,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-659352,SEAMLESS STEEL PIPE 1/2 in API 5L,Pipes & Fittings,Pipe,API 5L; 1/2 in; ASTM A106 Gr.B,ASTM A106 Gr.B,1/2 in,6000 mm,,Black,MTR,Metro Pumps & Valves,MET-217-55,Ahmedabad Asset,Active,24342,2026-07-19,seamless steel pipe 1/2 in api 5l,api 5l; 1/2 in; astm a106 gr.b,astm a106 gr.b,1/2 in,black,Metro Pumps & Valves,MET-217-55,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-608976,PT100 RTD 3-wire 300,Instrumentation,Temperature Sensor,IEC 60751; 3-wire; 300 mm,Pt100,3-wire,300 mm,10 mm,SS,NOS,Hindustan Mechanical,HIN-394-41,Chennai Refinery,Active,13944,2026-02-14,pt100 rtd 3-wire 300,iec 60751; 3-wire; 300 mm,pt100,3-wire,ss,Hindustan Mechanical,HIN-394-41,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-837503,HEXAGONAL BOLT M16 X 40MM,Fasteners,Bolt,IS 1363; M16 x 40 mm; Zinc Plated,Carbon Steel,M16,40 mm,10 mm,Zinc Plated,NOS,National Bearing Works,NAT-761-61,Paradip Refinery,Active,13270,2024-10-08,hexagonal bolt m16 x 40mm,is 1363; m16 x 40 mm; zinc plated,carbon steel,m16,zinc plated,National Bearing Works,NAT-761-61,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-272207,WASHER M8 GALVANIZED,Fasteners,Washer,IS 2016; M8; Galvanized,Carbon Steel,M8,,,Galvanized,NOS,ABC Industrial Products,ABC-988-39,Mumbai Offshore,Active,5884,2024-07-29,washer m8 galvanized,is 2016; m8; galvanized,carbon steel,m8,galvanized,ABC Industrial Products,ABC-988-39,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-539082,90 DEGREE ELBOW 2 in ASTM A234 WPB,Pipes & Fittings,Elbow,ASME B16.9; 2 in; ASTM A234 WPB,ASTM A234 WPB,2 in,,,Bare,MTR,Precision Fasteners,PRE-435-64,Visakh Refinery,Active,24501,2024-03-15,90 degree elbow 2 in astm a234 wpb,asme b16.9; 2 in; astm a234 wpb,astm a234 wpb,2 in,bare,Precision Fasteners,PRE-435-64,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-772388,HEX NUT M8 ZINC PLATED,Fasteners,Nut,IS 1364; M8; Zinc Plated,Carbon Steel,M8,,,Zinc Plated,NOS,Apex Industrial Systems,APE-826-57,Ahmedabad Asset,Active,343,2026-03-24,hexagonal nut m8 zinc plated,is 1364; m8; zinc plated,carbon steel,m8,zinc plated,Apex Industrial Systems,APE-826-57,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-813982,SEAMLESS STEEL PIPE 2 in API 5L,Pipes & Fittings,Pipe,API 5L; 2 in; ASTM A106 Gr.B,ASTM A106 Gr.B,2 in,3000 mm,,Black,MTR,Precision Fasteners,PRE-536-71,Chennai Refinery,Active,23369,2025-06-30,seamless steel pipe 2 in api 5l,api 5l; 2 in; astm a106 gr.b,astm a106 gr.b,2 in,black,Precision Fasteners,PRE-536-71,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-111019,HIGH PRESSURE HYDRAULIC HOSE 1-1/2 in,Hoses,Hydraulic Hose,SAE 100 R2; 1-1/2 in; 1000 mm,Synthetic Rubber,1-1/2 in,1000 mm,,Rubber,MTR,Apex Industrial Systems,APE-235-44,Panipat Refinery,Active,640,2025-06-02,high pressure hydraulic hose 1-1/2 in,sae 100 r2; 1-1/2 in; 1000 mm,synthetic rubber,1-1/2 in,rubber,Apex Industrial Systems,APE-235-44,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-988629,XLPE CABLE 6 sq mm,Electrical,Cable,IS 7098; 6 sq mm; 100 m,XLPE Copper,6 sq mm,100 mm,,PVC,MTR,Larsen Engineering,LAR-171-14,Mumbai Refinery,Active,20617,2024-05-08,xlpe cable 6 sq mm,is 7098; 6 sq mm; 100 m,xlpe copper,6 sq mm,pvc,Larsen Engineering,LAR-171-14,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-897012,GATE VALVE FLANGED 2 in ASTM A216 WCB,Valves,Gate Valve,API 600; 2 in; ASTM A216 WCB,ASTM A216 WCB,2 in,,,Painted,NOS,Larsen Engineering,LAR-680-69,Vishakha Terminal,Active,12699,2025-06-19,gate valve flanged 2 in astm a216 wcb,api 600; 2 in; astm a216 wcb,astm a216 wcb,2 in,painted,Larsen Engineering,LAR-680-69,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-340548,ELBOW 4 in ASTM A234 WPB,Pipes & Fittings,Elbow,ASME B16.9; 4 in; ASTM A234 WPB,ASTM A234 WPB,4 in,,,Bare,MTR,Eastern Cables,EAS-241-84,Panipat Refinery,Active,3650,2026-06-19,elbow 4 in astm a234 wpb,asme b16.9; 4 in; astm a234 wpb,astm a234 wpb,4 in,bare,Eastern Cables,EAS-241-84,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-539126,PRESSURE GAUGE 0-5 bar,Instrumentation,Pressure Gauge,EN 837-1; Range 0-5 bar,SS 304,0-5 bar,,,SS,NOS,Eastern Cables,EAS-744-21,Visakh Refinery,Active,16199,2026-07-13,pressure gauge 0-5 bar,en 837-1; range 0-5 bar,ss 304,0-5 bar,ss,Eastern Cables,EAS-744-21,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-552701,HEX HEAD BOLT M10 X 60 GALVANIZED,Fasteners,Bolt,IS 1363; M12 x 60 mm; Galvanized,Carbon Steel,M12,60 mm,12 mm,Galvanized,NOS,Supreme Engineering,SUP-794-42,Vishakha Terminal,Active,20237,2025-02-11,hexagonal head bolt m10 x 60 galvanized,is 1363; m12 x 60 mm; galvanized,carbon steel,m12,galvanized,Supreme Engineering,SUP-794-42,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-775983,RTD PT100 4-wire 150 MM,Instrumentation,Temperature Sensor,IEC 60751; 4-wire; 150 mm,Pt100,4-wire,150 mm,8 mm,SS,NOS,Bharat Industrial Works,BHA-777-86,Manali Terminal,Active,12538,2025-02-10,rtd pt100 4-wire 150 mm,iec 60751; 4-wire; 150 mm,pt100,4-wire,ss,Bharat Industrial Works,BHA-777-86,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-311298,FLOATING BALL VALVE 4 in SS 316,Valves,Ball Valve,API 608; 4 in; SS 316,SS 316,4 in,,,SS,NOS,Bharat Industrial Works,BHA-953-18,Manali Terminal,Active,14075,2025-07-07,floating ball valve 4 in stainless steel 316,api 608; 4 in; ss 316,ss 316,4 in,ss,Bharat Industrial Works,BHA-953-18,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-145413,DEEP GROOVE BEARING 6203,Bearings,Ball Bearing,ISO 15; Bearing 6203,Chrome Steel,6203,,,,NOS,Precision Fasteners,PRE-713-64,Ahmedabad Asset,Active,6377,2026-02-13,deep groove bearing 6203,iso 15; bearing 6203,chrome steel,6203,,Precision Fasteners,PRE-713-64,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-810730,HRC FUSE 2 A,Electrical,Fuse,IS 13703; 2 A,Ceramic,2 A,,,,MTR,Prime Electricals,PRI-584-10,Chennai Refinery,Active,12651,2025-05-19,high rupturing capacity fuse 2 a,is 13703; 2 a,ceramic,2 a,,Prime Electricals,PRI-584-10,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-592400,HEXAGONAL HEAD BOLT M8 X 40,Fasteners,Bolt,IS 1363; M8 x 40 mm; Zinc Plated,Carbon Steel,M8,40 mm,8 mm,Zinc Plated,NOS,Hindustan Mechanical,HIN-307-46,Ahmedabad Asset,Active,3930,2026-02-09,hexagonal head bolt m8 x 40,is 1363; m8 x 40 mm; zinc plated,carbon steel,m8,zinc plated,Hindustan Mechanical,HIN-307-46,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-744538,HRC FUSE 10 A,Electrical,Fuse,IS 13703; 10 A,Ceramic,10 A,,,,MTR,ABC Industrial Products,ABC-482-63,Mumbai Offshore,Active,21935,2026-07-07,high rupturing capacity fuse 10 a,is 13703; 10 a,ceramic,10 a,,ABC Industrial Products,ABC-482-63,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-563610,BOURDON PRESSURE GAUGE 0-25 bar,Instrumentation,Pressure Gauge,EN 837-1; Range 0-25 bar,SS 304,0-25 bar,,,SS,NOS,Prime Electricals,PRI-640-50,Ahmedabad Asset,Active,4804,2024-11-23,bourdon pressure gauge 0-25 bar,en 837-1; range 0-25 bar,ss 304,0-25 bar,ss,Prime Electricals,PRI-640-50,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-676762,PIPE 3 in ASTM A106 Gr.B,Pipes & Fittings,Pipe,API 5L; 3 in; ASTM A106 Gr.B,ASTM A106 Gr.B,3 in,6000 mm,,Bare,MTR,National Bearing Works,NAT-297-27,Vishakha Terminal,Active,14642,2026-05-30,pipe 3 in astm a106 gr.b,api 5l; 3 in; astm a106 gr.b,astm a106 gr.b,3 in,bare,National Bearing Works,NAT-297-27,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-834528,POWER CABLE 6 sq mm XLPE Copper,Electrical,Cable,IS 7098; 6 sq mm; 1000 m,XLPE Copper,6 sq mm,1000 mm,,PVC,MTR,Shree Valves & Fittings,SHR-738-21,Mumbai Offshore,Active,19921,2026-03-21,power cable 6 sq mm xlpe copper,is 7098; 6 sq mm; 1000 m,xlpe copper,6 sq mm,pvc,Shree Valves & Fittings,SHR-738-21,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-707180,FLOATING BALL VALVE 1/2 in,Valves,Ball Valve,API 608; 1/2 in; SS 316,SS 316,1/2 in,,,SS,NOS,Eastern Cables,EAS-595-50,Mumbai Refinery,Active,20222,2024-02-02,floating ball valve 1/2 in,api 608; 1/2 in; ss 316,ss 316,1/2 in,ss,Eastern Cables,EAS-595-50,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-932727,SEAMLESS STEEL PIPE 6 in API 5L,Pipes & Fittings,Pipe,API 5L; 6 in; ASTM A106 Gr.B,ASTM A106 Gr.B,6 in,6000 mm,,Black,MTR,Shree Valves & Fittings,SHR-388-29,Paradip Refinery,Active,6591,2023-12-17,seamless steel pipe 6 in api 5l,api 5l; 6 in; astm a106 gr.b,astm a106 gr.b,6 in,black,Shree Valves & Fittings,SHR-388-29,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-852651,GATE VALVE 6 in API 600,Valves,Gate Valve,API 600; 6 in; ASTM A216 WCB,ASTM A216 WCB,6 in,,,Painted,NOS,Shree Valves & Fittings,SHR-595-91,Panipat Refinery,Inactive,1145,2025-04-08,gate valve 6 in api 600,api 600; 6 in; astm a216 wcb,astm a216 wcb,6 in,painted,Shree Valves & Fittings,SHR-595-91,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-898075,GLOBE VALVE FLANGED 2 in,Valves,Globe Valve,API 623; 2 in; ASTM A216 WCB,ASTM A216 WCB,2 in,,,Painted,NOS,Larsen Engineering,LAR-458-74,Mumbai Refinery,Active,13017,2025-06-15,globe valve flanged 2 in,api 623; 2 in; astm a216 wcb,astm a216 wcb,2 in,painted,Larsen Engineering,LAR-458-74,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-917893,HRC FUSE 10 A,Electrical,Fuse,IS 13703; 10 A,Ceramic,10 A,,,,MTR,Prime Electricals,PRI-501-28,Visakh Refinery,Active,24419,2026-07-03,high rupturing capacity fuse 10 a,is 13703; 10 a,ceramic,10 a,,Prime Electricals,PRI-501-28,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
