cmm_code,common_description,material_family,governance_status,member_count,cpse_count,consuming_cpses,primary_uom,total_annual_consumption,avg_consumption_per_member,plant_count,dominant_plant
CMM-FASTNR-75EF56-001,FASTENER | NUT | ALLOY STEEL | M20 X 80 | ASTM A193,FASTENER,STANDALONE_CANDIDATE,1,1,IOCL,KG,10940,10940.0,1,Mathura Refinery
CMM-FASTNR-79903B-001,FASTENER | BOLT | SS 304 | M20 X 80 | DIN 931,FASTENER,VERIFIED_HARMONIZED,4,4,Coal India;HPCL;NTPC;SAIL,NOS,41452,10363.0,4,Jharia Coalfields
CMM-FASTNR-79F7B5-001,FASTENER | NUT | SS 304 | M16 X 65 | DIN 931,FASTENER,VERIFIED_HARMONIZED,3,3,HPCL;NMDC;NTPC,NOS,25842,8614.0,3,Kirandul Complex
CMM-FASTNR-7AC8DE-001,FASTENER | BOLT | SS 316 | M12 X 50 | DIN 931,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,KG,9053,9053.0,1,Jharia Coalfields
CMM-FASTNR-7B5EA4-001,FASTENER | MANGANESE STEEL | M24 X 100 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,8378,8378.0,1,Donimalai Iron Ore Mine
CMM-FASTNR-7DFD49-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,13677,13677.0,1,Jharia Coalfields
CMM-FASTNR-7E743D-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,2506,2506.0,1,Singareni Collieries
CMM-FASTNR-7E8976-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,267,267.0,1,Jharia Coalfields
CMM-FASTNR-805C80-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,9974,9974.0,1,Singareni Collieries
CMM-FASTNR-80EC9A-001,FASTENER | MANGANESE STEEL | M24 X 100 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,12720,12720.0,1,Bailadila Iron Ore Mine
CMM-FASTNR-867DA9-001,FASTENER | MANGANESE STEEL | M24 X 100 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,6989,6989.0,1,Bailadila Iron Ore Mine
CMM-FASTNR-874628-001,FASTENER | BOLT | GRADE 8.8 | M20 X 80 | IS 1367,FASTENER,STANDALONE_CANDIDATE,1,1,SAIL,NOS,11043,11043.0,1,Durgapur Steel Plant
CMM-FASTNR-87EE42-001,FASTENER | BOLT | GRADE B7 | M10 X 40 | IS 1367,FASTENER,VERIFIED_HARMONIZED,2,2,NMDC;ONGC,NOS,12726,6363.0,2,Ankleshwar Asset
CMM-FASTNR-88E4CA-001,FASTENER | NUT | GRADE 8.8 | M10 X 40 | IS 1367,FASTENER,STANDALONE_CANDIDATE,1,1,ONGC,KG,9767,9767.0,1,Uran Plant
CMM-FASTNR-8AAAB9-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,9918,9918.0,1,Talcher Coalfields
CMM-FASTNR-8BF2FF-001,FASTENER | MANGANESE STEEL | M24 X 100 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,10613,10613.0,1,Kirandul Complex
CMM-FASTNR-8FB594-001,FASTENER | BOLT | ALLOY STEEL | M16 X 65 | ASTM A193,FASTENER,VERIFIED_HARMONIZED,2,2,Coal India;IOCL,NOS,10568,5284.0,2,Singareni Collieries
CMM-FASTNR-90BA4C-001,FASTENER | BOLT | ALLOY STEEL | M20 X 80 | ASTM A193,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,337,337.0,1,Donimalai Iron Ore Mine
CMM-FASTNR-912BFD-001,FASTENER | BOLT | GRADE 10.9 | M16 X 65 | ASME B18.2,FASTENER,AMBIGUOUS_REVIEW_REQUIRED,2,2,Coal India;HPCL,NOS,7293,3646.5,2,Korba Coalfields
CMM-FASTNR-92FC46-001,FASTENER | BOLT | GRADE 8.8 | M10 X 40 | ASME B18.2,FASTENER,STANDALONE_CANDIDATE,1,1,ONGC,KG,7829,7829.0,1,Mumbai Offshore Complex
CMM-FASTNR-93C14A-001,FASTENER | SS 316 | M24 X 100 | ASTM A193,FASTENER,STANDALONE_CANDIDATE,1,1,ONGC,NOS,1399,1399.0,1,Ankleshwar Asset
CMM-FASTNR-93E627-001,FASTENER | MANGANESE STEEL | M24 X 100 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,4193,4193.0,1,Kirandul Complex
CMM-FASTNR-964AC9-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,8836,8836.0,1,Talcher Coalfields
CMM-FASTNR-9B1B0A-001,FASTENER | BOLT | GRADE B7 | M24 X 100 | ASME B18.2,FASTENER,VERIFIED_HARMONIZED,2,2,IOCL;NMDC,NOS,21720,10860.0,2,Haldia Refinery
CMM-FASTNR-9D9AC4-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,6874,6874.0,1,Jharia Coalfields
CMM-FASTNR-9F40C9-001,FASTENER | NUT | GRADE 8.8 | M16 X 65 | ASTM A193,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,4347,4347.0,1,Bailadila Iron Ore Mine
CMM-FASTNR-A037B5-001,FASTENER | BOLT | ALLOY STEEL | M24 X 100 | DIN 931,FASTENER,STANDALONE_CANDIDATE,1,1,NTPC,KG,10133,10133.0,1,Ramagundam STPS
CMM-FASTNR-A1A35C-001,FASTENER | BOLT | GRADE B7 | M10 X 40 | ASTM A193,FASTENER,VERIFIED_HARMONIZED,2,2,BHEL;NMDC,NOS,12909,6454.5,2,Bhopal Complex
CMM-FASTNR-A2AB0B-001,FASTENER | CARBON STEEL | M16 X 65 | DIN 931,FASTENER,VERIFIED_HARMONIZED,5,5,BHEL;Coal India;HPCL;NTPC;SAIL,NOS,33967,6793.4,5,Ramagundam STPS
CMM-FASTNR-A59C6C-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,6037,6037.0,1,Singareni Collieries
CMM-FASTNR-A72A9B-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,6585,6585.0,1,Singareni Collieries
CMM-FASTNR-A82C5B-001,FASTENER | GRADE B7 | M10 X 40 | IS 1367,FASTENER,AMBIGUOUS_REVIEW_REQUIRED,8,6,Coal India;HPCL;NMDC;NTPC;ONGC;SAIL,NOS,60026,7503.25,7,Bhatinda Refinery
CMM-FASTNR-AB8D46-001,FASTENER | MANGANESE STEEL | M24 X 100 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,3891,3891.0,1,Kirandul Complex
CMM-FASTNR-ABBB06-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,11574,11574.0,1,Korba Coalfields
CMM-FASTNR-AE0702-001,FASTENER | BOLT | GRADE B7 | M12 X 50 | IS 1367,FASTENER,VERIFIED_HARMONIZED,2,2,BHEL;IOCL,NOS,18157,9078.5,2,Mathura Refinery
CMM-FASTNR-AE173B-001,FASTENER | BOLT | GRADE 10.9 | M10 X 40 | ASME B18.2,FASTENER,STANDALONE_CANDIDATE,1,1,SAIL,KG,8033,8033.0,1,Rourkela Steel Plant
CMM-FASTNR-AE7085-001,FASTENER | GRADE 8.8 | M16 X 65 | DIN 931,FASTENER,STANDALONE_CANDIDATE,1,1,SAIL,NOS,10942,10942.0,1,Bokaro Steel Plant
CMM-FASTNR-B017A6-001,FASTENER | NUT | CARBON STEEL | M20 X 80 | ASME B18.2,FASTENER,VERIFIED_HARMONIZED,4,4,BHEL;Coal India;NTPC;ONGC,KG,18304,4576.0,4,Sivasagar Asset
CMM-FASTNR-B0430D-001,FASTENER | BOLT | GRADE 10.9 | M10 X 40 | IS 1367,FASTENER,STANDALONE_CANDIDATE,1,1,NTPC,NOS,2464,2464.0,1,Dadri Plant
CMM-FASTNR-B1846A-001,FASTENER | BOLT | GRADE 8.8 | M10 X 40 | IS 1367,FASTENER,VERIFIED_HARMONIZED,2,2,BHEL;HPCL,NOS,6041,3020.5,2,Hazira Complex
CMM-FASTNR-B46359-001,FASTENER | NUT | GRADE 10.9 | M10 X 40 | ASME B18.2,FASTENER,STANDALONE_CANDIDATE,1,1,BHEL,NOS,9777,9777.0,1,Hazira Complex
CMM-FASTNR-B4A1EA-001,FASTENER | BOLT | CARBON STEEL | M20 X 80 | ASME B18.2,FASTENER,VERIFIED_HARMONIZED,5,5,Coal India;HPCL;IOCL;NMDC;ONGC,KG,18148,3629.6,5,Korba Coalfields
CMM-FASTNR-B5D9B4-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,11645,11645.0,1,Talcher Coalfields
CMM-FASTNR-B810F4-001,FASTENER | BOLT | GRADE B7 | M20 X 80 | ASME B18.2,FASTENER,VERIFIED_HARMONIZED,3,3,BHEL;ONGC;SAIL,NOS,19989,6663.0,3,Durgapur Steel Plant
CMM-FASTNR-B982D3-001,FASTENER | BOLT | CARBON STEEL | M20 X 80 | ASTM A193,FASTENER,STANDALONE_CANDIDATE,1,1,ONGC,NOS,3477,3477.0,1,Sivasagar Asset
CMM-FASTNR-BA072B-001,FASTENER | BOLT | CARBON STEEL | M10 X 40 | ASTM A193,FASTENER,STANDALONE_CANDIDATE,1,1,BHEL,KG,14985,14985.0,1,Hazira Complex
CMM-FASTNR-BAA11F-001,FASTENER | GRADE 8.8 | M12 X 50 | IS 1367,FASTENER,STANDALONE_CANDIDATE,1,1,NTPC,NOS,3500,3500.0,1,Korba STPS
CMM-FASTNR-BCCDD8-001,FASTENER | NUT | GRADE 10.9 | M24 X 100 | DIN 931,FASTENER,VERIFIED_HARMONIZED,4,4,Coal India;NMDC;NTPC;ONGC,NOS,39284,9821.0,4,Vindhyachal STPS
CMM-FASTNR-BD32DD-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,14884,14884.0,1,Korba Coalfields
CMM-FASTNR-BDCB57-001,FASTENER | MANGANESE STEEL | M24 X 100 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,14834,14834.0,1,Donimalai Iron Ore Mine
CMM-FASTNR-BE26DC-001,FASTENER | BOLT | ALLOY STEEL | M16 X 65 | ASME B18.2,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,KG,5400,5400.0,1,Singareni Collieries
CMM-FASTNR-BF5BE1-001,FASTENER | NUT | SS 316 | M10 X 40 | ASTM A193,FASTENER,STANDALONE_CANDIDATE,1,1,IOCL,NOS,5660,5660.0,1,Mathura Refinery
CMM-FASTNR-C119EB-001,FASTENER | NUT | ALLOY STEEL | M12 X 50 | ASTM A193,FASTENER,STANDALONE_CANDIDATE,1,1,ONGC,NOS,1900,1900.0,1,Uran Plant
CMM-FASTNR-C18604-001,FASTENER | WASHER | SS 304 | M24 X 100 | ASME B18.2,FASTENER,VERIFIED_HARMONIZED,3,3,BHEL;Coal India;HPCL,KG,31088,10362.67,3,Bhatinda Refinery
CMM-FASTNR-C1D96C-001,FASTENER | NUT | GRADE 10.9 | M16 X 65 | ASTM A193,FASTENER,STANDALONE_CANDIDATE,1,1,SAIL,NOS,12506,12506.0,1,Durgapur Steel Plant
CMM-FASTNR-C372D3-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,4026,4026.0,1,Jharia Coalfields
CMM-FASTNR-C56053-001,FASTENER | BOLT | CARBON STEEL | M16 X 65 | ASME B18.2,FASTENER,STANDALONE_CANDIDATE,1,1,ONGC,KG,1319,1319.0,1,Mumbai Offshore Complex
CMM-FASTNR-C72FA0-001,FASTENER | MANGANESE STEEL | M24 X 100 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,416,416.0,1,Kirandul Complex
CMM-FASTNR-CBFF3D-001,FASTENER | SS 304 | M16 X 65 | IS 1367,FASTENER,STANDALONE_CANDIDATE,1,1,NTPC,NOS,9803,9803.0,1,Dadri Plant
CMM-FASTNR-CF6ED3-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,13507,13507.0,1,Jharia Coalfields
CMM-FASTNR-CFB3CB-001,FASTENER | NUT | GRADE B7 | M20 X 80 | DIN 931,FASTENER,VERIFIED_HARMONIZED,2,2,NTPC;ONGC,KG,8442,4221.0,2,Singrauli STPS
CMM-FASTNR-D24A54-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,2414,2414.0,1,Jharia Coalfields
CMM-FASTNR-D2DC1A-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,7680,7680.0,1,Jharia Coalfields
CMM-FASTNR-D382BF-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,4736,4736.0,1,Singareni Collieries
CMM-FASTNR-D3A3E7-001,FASTENER | BOLT | GRADE 8.8 | M16 X 65 | ASTM A193,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,KG,9562,9562.0,1,Korba Coalfields
CMM-FASTNR-D4573F-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,8740,8740.0,1,Singareni Collieries
CMM-FASTNR-D4C90A-001,FASTENER | NUT | GRADE 10.9 | M10 X 40 | IS 1367,FASTENER,STANDALONE_CANDIDATE,1,1,HPCL,KG,868,868.0,1,Visakh Refinery
CMM-FASTNR-DA5EC6-001,FASTENER | BOLT | SS 304 | M12 X 50 | DIN 931,FASTENER,STANDALONE_CANDIDATE,1,1,ONGC,KG,14467,14467.0,1,Uran Plant
CMM-FASTNR-DC5D47-001,FASTENER | NUT | CARBON STEEL | M20 X 80 | ASTM A193,FASTENER,STANDALONE_CANDIDATE,1,1,ONGC,KG,7094,7094.0,1,Uran Plant
CMM-FASTNR-DD7446-001,FASTENER | BOLT | GRADE 10.9 | M10 X 40 | IS 1367,FASTENER,STANDALONE_CANDIDATE,1,1,ONGC,NOS,7029,7029.0,1,Sivasagar Asset
CMM-FASTNR-DD91F0-001,FASTENER | GRADE 10.9 | M16 X 65 | ASME B18.2,FASTENER,STANDALONE_CANDIDATE,1,1,BHEL,KG,1194,1194.0,1,Trichy Complex
CMM-FASTNR-DFEB96-001,FASTENER | MANGANESE STEEL | M24 X 100 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,3814,3814.0,1,Bailadila Iron Ore Mine
CMM-FASTNR-E193F8-001,FASTENER | BOLT | GRADE 10.9 | M24 X 100 | ASME B18.2,FASTENER,STANDALONE_CANDIDATE,1,1,NTPC,KG,2282,2282.0,1,Singrauli STPS
CMM-FASTNR-E57005-001,FASTENER | BOLT | GRADE B7 | M24 X 100 | ASTM A193,FASTENER,VERIFIED_HARMONIZED,3,3,Coal India;IOCL;NTPC,NOS,19453,6484.33,3,Jharia Coalfields
CMM-FASTNR-E870A7-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,1739,1739.0,1,Talcher Coalfields
CMM-FASTNR-EA26E2-001,FASTENER | MANGANESE STEEL | M24 X 100 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,9594,9594.0,1,Donimalai Iron Ore Mine
CMM-FASTNR-EB9980-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,223,223.0,1,Korba Coalfields
CMM-FASTNR-ECEE31-001,FASTENER | WASHER | GRADE B7 | M12 X 50 | ASME B18.2,FASTENER,VERIFIED_HARMONIZED,2,2,IOCL;NTPC,KG,20188,10094.0,2,Panipat Refinery
CMM-FASTNR-EF8E28-001,FASTENER | WASHER | GRADE 10.9 | M12 X 50 | IS 1367,FASTENER,VERIFIED_HARMONIZED,3,3,Coal India;IOCL;SAIL,NOS,26659,8886.33,3,Gujarat Refinery
CMM-FASTNR-F10940-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,7555,7555.0,1,Korba Coalfields
CMM-FASTNR-F1E6CD-001,FASTENER | BOLT | GRADE 8.8 | M12 X 50 | DIN 931,FASTENER,STANDALONE_CANDIDATE,1,1,ONGC,KG,993,993.0,1,Rajahmundry Asset
CMM-FASTNR-F2986B-001,FASTENER | NUT | SS 304 | M16 X 65 | ASME B18.2,FASTENER,STANDALONE_CANDIDATE,1,1,IOCL,NOS,6535,6535.0,1,Gujarat Refinery
CMM-FASTNR-F3B45B-001,FASTENER | MANGANESE STEEL | M24 X 100 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,11373,11373.0,1,Bailadila Iron Ore Mine
CMM-FASTNR-F4128D-001,FASTENER | MANGANESE STEEL | M24 X 100 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,1504,1504.0,1,Kirandul Complex
CMM-FASTNR-F4A0EA-001,FASTENER | BOLT | GRADE 8.8 | M16 X 65 | ASTM A193,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,9386,9386.0,1,Korba Coalfields
CMM-FASTNR-F58160-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,11433,11433.0,1,Talcher Coalfields
CMM-FASTNR-F992A6-001,FASTENER | BOLT | GRADE 8.8 | M12 X 50 | ASTM A193,FASTENER,STANDALONE_CANDIDATE,1,1,ONGC,NOS,11575,11575.0,1,Ankleshwar Asset
CMM-FASTNR-F9A509-001,FASTENER | MANGANESE STEEL | M24 X 100 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,4922,4922.0,1,Donimalai Iron Ore Mine
CMM-FASTNR-FA7298-001,FASTENER | MANGANESE STEEL | M24 X 100 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,2329,2329.0,1,Donimalai Iron Ore Mine
CMM-FASTNR-FC2A6B-001,FASTENER | NUT | CARBON STEEL | M12 X 50 | ASTM A193,FASTENER,STANDALONE_CANDIDATE,1,1,SAIL,NOS,2302,2302.0,1,Rourkela Steel Plant
CMM-FASTNR-FCF6F1-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,3008,3008.0,1,Korba Coalfields
CMM-FASTNR-FEE036-001,FASTENER | TUNGSTEN CARBIDE | M20 | IS 4772,FASTENER,STANDALONE_CANDIDATE,1,1,Coal India,NOS,14573,14573.0,1,Korba Coalfields
CMM-FASTNR-FF37FE-001,FASTENER | BOLT | GRADE 8.8 | M16 X 65 | ASME B18.2,FASTENER,STANDALONE_CANDIDATE,1,1,NMDC,NOS,13795,13795.0,1,Kirandul Complex
CMM-INSTRU-001E9A-001,INSTRUMENTATION | SS 316 | 1/2 IN NPT | API 537,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,IOCL,NOS,3818,3818.0,1,Barauni Refinery
CMM-INSTRU-014C39-001,INSTRUMENTATION | POLYCARBONATE | 1/2 IN NPT | ASME B40.100,INSTRUMENTATION,VERIFIED_HARMONIZED,6,6,HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,NOS,54540,9090.0,6,Donimalai Iron Ore Mine
CMM-INSTRU-027BD0-001,INSTRUMENTATION | BRASS | 0-100 BAR | ASME B40.100,INSTRUMENTATION,AMBIGUOUS_REVIEW_REQUIRED,15,8,BHEL;Coal India;HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,NOS,87856,5857.07,12,Singareni Collieries
CMM-INSTRU-028F33-001,INSTRUMENTATION | SS 316 | 1/2 IN NPT | API 537,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,IOCL,NOS,12300,12300.0,1,Gujarat Refinery
CMM-INSTRU-028F71-001,INSTRUMENTATION | SS 304 | 0-100 BAR | ASME B40.100,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,NMDC,NOS,7645,7645.0,1,Kirandul Complex
CMM-INSTRU-05A689-001,INSTRUMENTATION | SS 316 | 1/2 IN NPT | API 537,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,IOCL,NOS,1914,1914.0,1,Mathura Refinery
CMM-INSTRU-05BCB8-001,INSTRUMENTATION | SS 304 | 0-20 M | API 2350,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,HPCL,NOS,8086,8086.0,1,Mumbai Refinery
CMM-INSTRU-07ECAA-001,INSTRUMENTATION | SS 316 | 1/2 IN NPT | API 537,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,IOCL,NOS,14600,14600.0,1,Gujarat Refinery
CMM-INSTRU-0A8505-001,INSTRUMENTATION | SS 304 | 0-20 M | API 2350,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,HPCL,NOS,4024,4024.0,1,Bhatinda Refinery
CMM-INSTRU-0B19E5-001,INSTRUMENTATION | SS 304 | 0-20 M | API 2350,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,HPCL,NOS,4629,4629.0,1,Mumbai Refinery
CMM-INSTRU-0B4CE5-001,INSTRUMENTATION | SS 304 | 0-20 M | API 2350,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,HPCL,NOS,12481,12481.0,1,Mumbai Refinery
CMM-INSTRU-0E74F1-001,INSTRUMENTATION | PRESSURE GAUGE | POLYCARBONATE | 0-500 DEG C | IEC 60529,INSTRUMENTATION,VERIFIED_HARMONIZED,2,2,HPCL;SAIL,NOS,23017,11508.5,2,Visakh Refinery
CMM-INSTRU-110879-001,INSTRUMENTATION | SS 316 | 1/2 IN NPT | API 537,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,IOCL,NOS,8377,8377.0,1,Barauni Refinery
CMM-INSTRU-11CE56-001,INSTRUMENTATION | SS 316 | 5000 PSI | API 6A,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,ONGC,NOS,12873,12873.0,1,Mumbai Offshore Complex
CMM-INSTRU-161206-001,INSTRUMENTATION | SS 304 | 0-20 M | API 2350,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,HPCL,NOS,11369,11369.0,1,Visakh Refinery
CMM-INSTRU-1709F9-001,INSTRUMENTATION | PRESSURE GAUGE | BRASS | 0-100 BAR | ISA 75.01,INSTRUMENTATION,VERIFIED_HARMONIZED,2,2,NMDC;NTPC,NOS,7539,3769.5,2,Kirandul Complex
CMM-INSTRU-17D92D-001,INSTRUMENTATION | SS 316 | 0-15 M | IEC 60529,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,NTPC,NOS,9354,9354.0,1,Korba STPS
CMM-INSTRU-1860D4-001,INSTRUMENTATION | PRESSURE GAUGE | SS 316 | 0-500 DEG C | IEC 60529,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,IOCL,NOS,10697,10697.0,1,Barauni Refinery
CMM-INSTRU-1887F6-001,INSTRUMENTATION | SS 316 | 1/2 IN NPT | API 537,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,IOCL,NOS,14298,14298.0,1,Barauni Refinery
CMM-INSTRU-192BB2-001,INSTRUMENTATION | SS 316 | 0-15 M | IEC 60529,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,NTPC,NOS,10070,10070.0,1,Korba STPS
CMM-INSTRU-1A2E94-001,INSTRUMENTATION | SS 316 | 1/2 IN NPT | API 537,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,IOCL,NOS,10558,10558.0,1,Barauni Refinery
CMM-INSTRU-1A3D47-001,INSTRUMENTATION | SS 316 | 0-15 M | IEC 60529,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,NTPC,NOS,2115,2115.0,1,Dadri Plant
CMM-INSTRU-1E073D-001,INSTRUMENTATION | SS 316 | 4-20 MA | ASME B40.100,INSTRUMENTATION,AMBIGUOUS_REVIEW_REQUIRED,16,8,BHEL;Coal India;HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,NOS,107272,6704.5,13,Korba STPS
CMM-INSTRU-1F0427-001,INSTRUMENTATION | SS 304 | 0-20 M | API 2350,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,HPCL,NOS,7048,7048.0,1,Visakh Refinery
CMM-INSTRU-201B86-001,INSTRUMENTATION | SS 316 | 0-15 M | IEC 60529,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,NTPC,NOS,13672,13672.0,1,Ramagundam STPS
CMM-INSTRU-205218-001,INSTRUMENTATION | BRASS | 0-100 BAR | IEC 60529,INSTRUMENTATION,VERIFIED_HARMONIZED,2,2,IOCL;NMDC,NOS,18723,9361.5,2,Haldia Refinery
CMM-INSTRU-206534-001,INSTRUMENTATION | SS 304 | 0-20 M | API 2350,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,HPCL,NOS,9282,9282.0,1,Mumbai Refinery
CMM-INSTRU-20EC15-001,INSTRUMENTATION | SS 316 | 1/2 IN NPT | API 537,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,IOCL,NOS,10874,10874.0,1,Gujarat Refinery
CMM-INSTRU-21B419-001,INSTRUMENTATION | SS 316 | 1/2 IN NPT | API 537,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,IOCL,NOS,1981,1981.0,1,Gujarat Refinery
CMM-INSTRU-21D516-001,INSTRUMENTATION | SS 316 | 0-500 DEG C | ASME B40.100,INSTRUMENTATION,VERIFIED_HARMONIZED,4,4,HPCL;IOCL;NMDC;SAIL,NOS,22593,5648.25,4,Bokaro Steel Plant
CMM-INSTRU-22FF74-001,INSTRUMENTATION | PRESSURE GAUGE | BRASS | 0-100 BAR | IEC 60529,INSTRUMENTATION,VERIFIED_HARMONIZED,6,6,Coal India;HPCL;NMDC;NTPC;ONGC;SAIL,NOS,58237,9706.17,6,Vindhyachal STPS
CMM-INSTRU-26CA5D-001,INSTRUMENTATION | SS 316 | 1/2 IN NPT | API 537,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,IOCL,NOS,1421,1421.0,1,Mathura Refinery
CMM-INSTRU-277A84-001,INSTRUMENTATION | SS 316 | 1/2 IN NPT | API 537,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,IOCL,NOS,12820,12820.0,1,Mathura Refinery
CMM-INSTRU-278970-001,INSTRUMENTATION | SS 316 | 5000 PSI | API 6A,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,ONGC,NOS,12801,12801.0,1,Rajahmundry Asset
CMM-INSTRU-27F467-001,INSTRUMENTATION | SS 316 | 1/2 IN NPT | API 537,INSTRUMENTATION,STANDALONE_CANDIDATE,1,1,IOCL,NOS,13955,13955.0,1,Haldia Refinery
