Material_Code,CPSE,Material_Description,Normalized_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,EX_material_family,EX_material_type,EX_material_subtype,EX_material,EX_material_grade,EX_size,EX_nominal_size,EX_length,EX_width,EX_height,EX_diameter,EX_thickness,EX_pressure_class,EX_schedule,EX_rating,EX_standard,EX_specification,EX_coating,EX_connection_type,EX_end_type,EX_construction,EX_orientation,EX_bearing_number,EX_manufacturer,EX_manufacturer_part_no,EX_unit,extraction_attribute_count,extraction_has_conflict,extraction_conflicts_detail,extraction_rules_applied,extraction_sources_used
ONGC-100089,ONGC,SPARE-VERTICAL TURBINE PUMP SS316 2 in x 1.5 in,spare-vertical turbine pump ss316 2 in x 1.5 in,Pumps,Vertical Turbine Pump,IS 1520,SS316,2 in x 1.5 in,,2 in x 1.5 in,,SET,pump,,,stainless steel,SS316,2 in x 1.5 in,,,,,2 in x 1.5 in,,,,,IS 1520,IS 1520,,,,,vertical,,WPIL,WPI-VTP-2inx1.5in-90,SET,11,True,size: '2 in x 1.5 in' vs '2 in'; material_grade: 'SS316' vs 'SS 316',DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
NMDC-410093,NMDC,"STORES ITEM Vertical Turbine Pump, SS316, SIZE 2 in x 1.5 in","stores item vertical turbine pump, ss316, size 2 in x 1.5 in",Pumps,Vertical Turbine Pump,IS 1520,SS316,2 in x 1.5 in,,2 in x 1.5 in,,SET,pump,,,stainless steel,SS316,2 in x 1.5 in,,,,,2 in x 1.5 in,,,,,IS 1520,IS 1520,,,,,vertical,,WPIL,WPI-VTP-2inx1.5in-63,SET,11,True,size: '2 in x 1.5 in' vs '2 in'; material_grade: 'SS316' vs 'SS 316',DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
SAIL-300096,SAIL,VERTICAL TURBINE PUMP 2 in x 1.5 in SS316,vertical turbine pump 2 in x 1.5 in ss316,Pumps,Vertical Turbine Pump,IS 1520,SS316,2 in x 1.5 in,,2 in x 1.5 in,,SET,pump,,,stainless steel,SS316,2 in x 1.5 in,,,,,2 in x 1.5 in,,,,,IS 1520,IS 1520,,,,,vertical,,WPIL,WPI-VTP-2inx1.5in-34,SET,11,True,size: '2 in x 1.5 in' vs '2 in'; material_grade: 'SS316' vs 'SS 316',DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
IOCL-110087,IOCL,SPARE-Vertical Turbine Pump 2 in x 1.5 in SS316,spare-vertical turbine pump 2 in x 1.5 in ss316,Pumps,Vertical Turbine Pump,IS 1520,SS316,2 in x 1.5 in,,2 in x 1.5 in,,SET,pump,,,stainless steel,SS316,2 in x 1.5 in,,,,,2 in x 1.5 in,,,,,IS 1520,IS 1520,,,,,vertical,,WPIL,WPI-VTP-2inx1.5in-16,SET,11,True,size: '2 in x 1.5 in' vs '2 in'; material_grade: 'SS316' vs 'SS 316',DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
IOCL-110088,IOCL,BALL BRG Stainless Steel 6208,ball bearing stainless steel 6208,Bearings,Ball Bearing,ISO 15,Stainless Steel,6208,,,,NOS,bearing,ball bearing,,stainless steel,Stainless Steel,6208,,,,,,,,,,ISO 15,ISO 15,,,,,,6208,SKF,SKF-BB-6208-63,NOS,11,False,,BEARING_NUMBER; FAMILY_BEARING; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_BALL_BEARING; UNIT_FROM_FIELD,description; specification; structured_field
NMDC-410094,NMDC,BALL BRG 6208 Stainless Steel,ball bearing 6208 stainless steel,Bearings,Ball Bearing,ISO 15,Stainless Steel,6208,,,,NOS,bearing,ball bearing,,stainless steel,Stainless Steel,6208,,,,,,,,,,ISO 15,ISO 15,,,,,,6208,SKF,SKF-BB-6208-47,NOS,11,False,,BEARING_NUMBER; FAMILY_BEARING; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_BALL_BEARING; UNIT_FROM_FIELD,description; specification; structured_field
NTPC-200086,NTPC,Ball Bearing 6208 Stainless Steel,ball bearing 6208 stainless steel,Bearings,Ball Bearing,ISO 15,Stainless Steel,6208,,,,NOS,bearing,ball bearing,,stainless steel,Stainless Steel,6208,,,,,,,,,,ISO 15,ISO 15,,,,,,6208,SKF,SKF-BB-6208-59,NOS,11,False,,BEARING_NUMBER; FAMILY_BEARING; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_BALL_BEARING; UNIT_FROM_FIELD,description; specification; structured_field
CIL-400082,Coal India,SUBMERSIBLE PUMP 3 in x 2 in Carbon Steel,submersible pump 3 in x 2 in carbon steel,Pumps,Submersible Pump,ISO 2858,Carbon Steel,3 in x 2 in,,,,SET,pump,,,carbon steel,Carbon Steel,3 in x 2 in,,,,,,,,,,ISO 2858,ISO 2858,,,,,,,Mather+Platt,MAT-SP-3inx2in-30,SET,9,True,size: '3 in x 2 in' vs '3 in',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
BHEL-500091,BHEL,"SUBMERSIBLE PUMP, Carbon Steel, SIZE 3 in x 2 in","submersible pump, carbon steel, size 3 in x 2 in",Pumps,Submersible Pump,ISO 2858,Carbon Steel,3 in x 2 in,,,,SET,pump,,,carbon steel,Carbon Steel,3 in x 2 in,,,,,,,,,,ISO 2858,ISO 2858,,,,,,,Mather+Platt,MAT-SP-3inx2in-94,SET,9,True,size: '3 in x 2 in' vs '3 in',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
NMDC-410095,NMDC,STORES ITEM Submersible Pump 3 in x 2 in Carbon Steel,stores item submersible pump 3 in x 2 in carbon steel,Pumps,Submersible Pump,ISO 2858,Carbon Steel,3 in x 2 in,,,,SET,pump,,,carbon steel,Carbon Steel,3 in x 2 in,,,,,,,,,,ISO 2858,ISO 2858,,,,,,,Mather+Platt,MAT-SP-3inx2in-65,SET,9,True,size: '3 in x 2 in' vs '3 in',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
ONGC-100090,ONGC,SPARE-Spiral Wound Gasket Viton 2 in,spare-spiral wound gasket viton 2 in,Seals,Spiral Wound Gasket,ASME B16.20,Viton,2 in,,2 in,,NOS,seal/gasket,spiral wound gasket,,,Viton,2 in,,,,,2 in,,,,,ASME B16.20,ASME B16.20,,,,,,,Sealol,SEA-SWG-2in-50,NOS,10,False,,DIAMETER_FROM_FIELD; FAMILY_SEAL; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; TYPE_SPIRAL_GASKET; UNIT_FROM_FIELD,description; specification; structured_field
BHEL-500092,BHEL,Spiral Wound Gasket 2 in Viton,spiral wound gasket 2 in viton,Seals,Spiral Wound Gasket,ASME B16.20,Viton,2 in,,2 in,,NOS,seal/gasket,spiral wound gasket,,,Viton,2 in,,,,,2 in,,,,,ASME B16.20,ASME B16.20,,,,,,,Sealol,SEA-SWG-2in-12,NOS,10,False,,DIAMETER_FROM_FIELD; FAMILY_SEAL; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; TYPE_SPIRAL_GASKET; UNIT_FROM_FIELD,description; specification; structured_field
IOCL-110089,IOCL,SPARE-Spiral Wound Gasket 2 in Viton,spare-spiral wound gasket 2 in viton,Seals,Spiral Wound Gasket,ASME B16.20,Viton,2 in,,2 in,,NOS,seal/gasket,spiral wound gasket,,,Viton,2 in,,,,,2 in,,,,,ASME B16.20,ASME B16.20,,,,,,,Sealol,SEA-SWG-2in-56,NOS,10,False,,DIAMETER_FROM_FIELD; FAMILY_SEAL; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; TYPE_SPIRAL_GASKET; UNIT_FROM_FIELD,description; specification; structured_field
BHEL-500093,BHEL,"Switchgear Panel, XLPE Insulated, SIZE 3C x 95 sq mm","switchgear panel, xlpe insulated, size 3c x 95 sq mm",Electrical,Switchgear Panel,IEC 60502,XLPE Insulated,3C x 95 sq mm,1000 m,,,MTR,electrical,,,xlpe,XLPE Insulated,3C x 95 sq mm,,1000 m,,,,,,,,IEC 60502,IEC 60502,,,,,,,ABB,ABB-SP-3Cx95sqmm-41,MTR,10,True,size: '3C x 95 sq mm' vs '95 sq mm',FAMILY_ELECTRICAL; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_XLPE; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
SAIL-300097,SAIL,STORES ITEM Switchgear Panel XLPE Insulated 3C x 95 sq mm,stores item switchgear panel xlpe insulated 3c x 95 sq mm,Electrical,Switchgear Panel,IEC 60502,XLPE Insulated,3C x 95 sq mm,1000 m,,,MTR,electrical,,,xlpe,XLPE Insulated,3C x 95 sq mm,,1000 m,,,,,,,,IEC 60502,IEC 60502,,,,,,,ABB,ABB-SP-3Cx95sqmm-19,MTR,10,True,size: '3C x 95 sq mm' vs '95 sq mm',FAMILY_ELECTRICAL; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_XLPE; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
ONGC-100091,ONGC,SWITCHGEAR PANEL 3C x 95 sq mm XLPE Insulated,switchgear panel 3c x 95 sq mm xlpe insulated,Electrical,Switchgear Panel,IEC 60502,XLPE Insulated,3C x 95 sq mm,1000 m,,,MTR,electrical,,,xlpe,XLPE Insulated,3C x 95 sq mm,,1000 m,,,,,,,,IEC 60502,IEC 60502,,,,,,,ABB,ABB-SP-3Cx95sqmm-77,MTR,10,True,size: '3C x 95 sq mm' vs '95 sq mm',FAMILY_ELECTRICAL; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_XLPE; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
IOCL-110090,IOCL,3C x 95 sq mm SWITCHGEAR PANEL - XLPE Insulated,3c x 95 sq mm switchgear panel - xlpe insulated,Electrical,Switchgear Panel,IEC 60502,XLPE Insulated,3C x 95 sq mm,1000 m,,,MTR,electrical,,,xlpe,XLPE Insulated,3C x 95 sq mm,,1000 m,,,,,,,,IEC 60502,IEC 60502,,,,,,,ABB,ABB-SP-3Cx95sqmm-64,MTR,10,True,size: '3C x 95 sq mm' vs '95 sq mm',FAMILY_ELECTRICAL; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_XLPE; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
CIL-400083,Coal India,STORES ITEM Switchgear Panel XLPE Insulated 3C x 95 sq mm,stores item switchgear panel xlpe insulated 3c x 95 sq mm,Electrical,Switchgear Panel,IEC 60502,XLPE Insulated,3C x 95 sq mm,1000 m,,,MTR,electrical,,,xlpe,XLPE Insulated,3C x 95 sq mm,,1000 m,,,,,,,,IEC 60502,IEC 60502,,,,,,,ABB,ABB-SP-3Cx95sqmm-90,MTR,10,True,size: '3C x 95 sq mm' vs '95 sq mm',FAMILY_ELECTRICAL; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_XLPE; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
ONGC-100092,ONGC,"STORES ITEM BOLT HEX, Grade B7, SIZE M20 x 80","stores item bolt hexagonal, grade b7, size m20 x 80",Fasteners,Hex Bolt,ASME B18.2.1,Grade B7,M20 x 80,80 mm,,,NOS,fastener,bolt,,,Grade B7,M20 x 80,,80 mm,,,,,,,,ASME B18.2,ASME B18.2.1,,,,,,,Precision Fasteners,PREFAS-HB-M20x80-97,NOS,10,True,size: 'M20 x 80' vs 'M20',FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
NMDC-410096,NMDC,M20 x 80 Hex Bolt - Grade B7,m20 x 80 hexagonal bolt - grade b7,Fasteners,Hex Bolt,ASME B18.2.1,Grade B7,M20 x 80,80 mm,,,NOS,fastener,bolt,hex,,Grade B7,M20 x 80,,80 mm,,,,,,,,ASME B18.2,ASME B18.2.1,,,,,,,Precision Fasteners,PREFAS-HB-M20x80-27,NOS,11,True,size: 'M20 x 80' vs 'M20',FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; SUBTYPE_HEX; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
HPCL-120094,HPCL,Hex Bolt M20 x 80 Grade B7,hexagonal bolt m20 x 80 grade b7,Fasteners,Hex Bolt,ASME B18.2.1,Grade B7,M20 x 80,80 mm,,,NOS,fastener,bolt,hex,,Grade B7,M20 x 80,,80 mm,,,,,,,,ASME B18.2,ASME B18.2.1,,,,,,,Precision Fasteners,PREFAS-HB-M20x80-49,NOS,11,True,size: 'M20 x 80' vs 'M20',FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; SUBTYPE_HEX; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
BHEL-500094,BHEL,IND.HX BOLT Grade B7 M20 x 80,ind.hx bolt grade b7 m20 x 80,Fasteners,Hex Bolt,ASME B18.2.1,Grade B7,M20 x 80,80 mm,,,NOS,fastener,bolt,,,Grade B7,M20 x 80,,80 mm,,,,,,,,ASME B18.2,ASME B18.2.1,,,,,,,Precision Fasteners,PREFAS-HB-M20x80-66,NOS,10,True,size: 'M20 x 80' vs 'M20',FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
SAIL-300098,SAIL,BOLT HEX Grade B7 M20 x 80,bolt hexagonal grade b7 m20 x 80,Fasteners,Hex Bolt,ASME B18.2.1,Grade B7,M20 x 80,80 mm,,,NOS,fastener,bolt,,,Grade B7,M20 x 80,,80 mm,,,,,,,,ASME B18.2,ASME B18.2.1,,,,,,,Precision Fasteners,PREFAS-HB-M20x80-89,NOS,10,True,size: 'M20 x 80' vs 'M20',FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
NTPC-200087,NTPC,Hex Bolt M20 x 80 Grade B7,hexagonal bolt m20 x 80 grade b7,Fasteners,Hex Bolt,ASME B18.2.1,Grade B7,M20 x 80,80 mm,,,NOS,fastener,bolt,hex,,Grade B7,M20 x 80,,80 mm,,,,,,,,ASME B18.2,ASME B18.2.1,,,,,,,Precision Fasteners,PREFAS-HB-M20x80-48,NOS,11,True,size: 'M20 x 80' vs 'M20',FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; SUBTYPE_HEX; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
NTPC-200088,NTPC,STORES ITEM Centrifugal Pump Carbon Steel DN 100,stores item centrifugal pump carbon steel dn 100,Pumps,Centrifugal Pump,IS 1520,Carbon Steel,DN 100,,,Zinc Plated,SET,pump,centrifugal pump,,carbon steel,Carbon Steel,DN 100,,,,,,,,,,IS 1520,IS 1520,zinc plated,,,,,,KSB,KSB-CP-DN100-24,SET,11,True,size: 'DN 100' vs 'DN100',COATING_FROM_STRUCTURED_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field
CIL-400084,Coal India,"IND.Centrifugal Pump, Carbon Steel, SIZE DN 100","ind.centrifugal pump, carbon steel, size dn 100",Pumps,Centrifugal Pump,IS 1520,Carbon Steel,DN 100,,,Zinc Plated,SET,pump,centrifugal pump,,carbon steel,Carbon Steel,DN 100,,,,,,,,,,IS 1520,IS 1520,zinc plated,,,,,,KSB,KSB-CP-DN100-97,SET,11,True,size: 'DN 100' vs 'DN100',COATING_FROM_STRUCTURED_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field
HPCL-120095,HPCL,DN 100 Centrifugal Pump - Carbon Steel,dn 100 centrifugal pump - carbon steel,Pumps,Centrifugal Pump,IS 1520,Carbon Steel,DN 100,,,Zinc Plated,SET,pump,centrifugal pump,,carbon steel,Carbon Steel,DN 100,,,,,,,,,,IS 1520,IS 1520,zinc plated,,,,,,KSB,KSB-CP-DN100-74,SET,11,True,size: 'DN 100' vs 'DN100',COATING_FROM_STRUCTURED_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field
SAIL-300099,SAIL,"PUMP CENTRIF, Carbon Steel, SIZE DN 100","pump centrif, carbon steel, size dn 100",Pumps,Centrifugal Pump,IS 1520,Carbon Steel,DN 100,,,Zinc Plated,SET,pump,centrifugal pump,,carbon steel,Carbon Steel,DN 100,,,,,,,,,,IS 1520,IS 1520,zinc plated,,,,,,KSB,KSB-CP-DN100-47,SET,11,True,size: 'DN 100' vs 'DN100',COATING_FROM_STRUCTURED_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field
ONGC-100093,ONGC,DN 100 CENT. PUMP - Carbon Steel,dn 100 cent. pump - carbon steel,Pumps,Centrifugal Pump,IS 1520,Carbon Steel,DN 100,,,Zinc Plated,SET,pump,centrifugal pump,,carbon steel,Carbon Steel,DN 100,,,,,,,,,,IS 1520,IS 1520,zinc plated,,,,,,KSB,KSB-CP-DN100-18,SET,11,True,size: 'DN 100' vs 'DN100',COATING_FROM_STRUCTURED_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field
IOCL-110091,IOCL,IND.DN 100 Centrifugal Pump - Carbon Steel,ind.dn 100 centrifugal pump - carbon steel,Pumps,Centrifugal Pump,IS 1520,Carbon Steel,DN 100,,,Zinc Plated,SET,pump,centrifugal pump,,carbon steel,Carbon Steel,DN 100,,,,,,,,,,IS 1520,IS 1520,zinc plated,,,,,,KSB,KSB-CP-DN100-31,SET,11,True,size: 'DN 100' vs 'DN100',COATING_FROM_STRUCTURED_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field
NTPC-200089,NTPC,"SPARE-Vertical Turbine Pump, Duplex Steel, SIZE DN 80","spare-vertical turbine pump, duplex steel, size dn 80",Pumps,Vertical Turbine Pump,ISO 2858,Duplex Steel,DN 80,,,,SET,pump,,,,Duplex Steel,DN 80,,,,,,,,,,ISO 2858,ISO 2858,,,,,vertical,,Mather+Platt,MAT-VTP-DN80-69,SET,9,True,size: 'DN 80' vs 'DN80',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
BHEL-500095,BHEL,STORES ITEM VERTICAL TURBINE PUMP Duplex Steel DN 80,stores item vertical turbine pump duplex steel dn 80,Pumps,Vertical Turbine Pump,ISO 2858,Duplex Steel,DN 80,,,,SET,pump,,,,Duplex Steel,DN 80,,,,,,,,,,ISO 2858,ISO 2858,,,,,vertical,,Mather+Platt,MAT-VTP-DN80-54,SET,9,True,size: 'DN 80' vs 'DN80',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
HPCL-120096,HPCL,DN 80 VERTICAL TURBINE PUMP - Duplex Steel,dn 80 vertical turbine pump - duplex steel,Pumps,Vertical Turbine Pump,ISO 2858,Duplex Steel,DN 80,,,,SET,pump,,,,Duplex Steel,DN 80,,,,,,,,,,ISO 2858,ISO 2858,,,,,vertical,,Mather+Platt,MAT-VTP-DN80-69,SET,9,True,size: 'DN 80' vs 'DN80',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
ONGC-100094,ONGC,Vertical Turbine Pump Duplex Steel DN 80,vertical turbine pump duplex steel dn 80,Pumps,Vertical Turbine Pump,ISO 2858,Duplex Steel,DN 80,,,,SET,pump,,,,Duplex Steel,DN 80,,,,,,,,,,ISO 2858,ISO 2858,,,,,vertical,,Mather+Platt,MAT-VTP-DN80-29,SET,9,True,size: 'DN 80' vs 'DN80',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
SAIL-300100,SAIL,DN 80 VERTICAL TURBINE PUMP - Duplex Steel,dn 80 vertical turbine pump - duplex steel,Pumps,Vertical Turbine Pump,ISO 2858,Duplex Steel,DN 80,,,,SET,pump,,,,Duplex Steel,DN 80,,,,,,,,,,ISO 2858,ISO 2858,,,,,vertical,,Mather+Platt,MAT-VTP-DN80-23,SET,9,True,size: 'DN 80' vs 'DN80',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
