CPSE,Sector,Material_Code,Material_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Unit_Price_INR
Coal India,Mining,CIL-400045,IND.Rubber Gasket NBR 50 mm,Seals,Rubber Gasket,DIN 3760,NBR,50 mm,,,PTFE Lined,NOS,Sealol,SEA-RG-50mm-67,Korba Coalfields,Active,8671,2025-11-03,13284.41
HPCL,Oil & Gas,HPCL-120056,50 mm Rubber Gasket - NBR,Seals,Rubber Gasket,DIN 3760,NBR,50 mm,,,PTFE Lined,NOS,Sealol,SEA-RG-50mm-23,Bhatinda Refinery,Active,11560,2025-11-12,15107.76
SAIL,Steel,SAIL-300057,50 mm RUBBER GASKET - NBR,Seals,Rubber Gasket,DIN 3760,NBR,50 mm,,,PTFE Lined,NOS,Sealol,SEA-RG-50mm-22,Bhilai Steel Plant,Active,8797,2025-09-06,16010.43
IOCL,Oil & Gas,IOCL-110054,STORES ITEM RUBBER GASKET NBR 50 mm,Seals,Rubber Gasket,DIN 3760,NBR,50 mm,,,PTFE Lined,NOS,Sealol,SEA-RG-50mm-41,Haldia Refinery,Slow-Moving,5349,2025-09-15,16010.43
NMDC,Mining,NMDC-410052,SPARE-RUBBER GASKET NBR 50 mm,Seals,Rubber Gasket,DIN 3760,NBR,50 mm,,,PTFE Lined,NOS,Sealol,SEA-RG-50mm-28,Kirandul Complex,Active,6555,2024-01-01,15021.94
NMDC,Mining,NMDC-410053,Globe Valve ASTM A216 WCB 2 in,Valves,Globe Valve,BS 1873,ASTM A216 WCB,2 in,,,Epoxy Coated,NOS,Audco,AUD-GV-2in-66,Kirandul Complex,Active,2317,2024-09-28,37700.01
ONGC,Oil & Gas,ONGC-100048,SPARE-GLOBE VALVE 2 in ASTM A216 WCB,Valves,Globe Valve,BS 1873,ASTM A216 WCB,2 in,,,Epoxy Coated,NOS,Audco,AUD-GV-2in-32,Uran Plant,Active,9373,2024-08-10,39199.42
Coal India,Mining,CIL-400046,GLOBE VALVE 2 in ASTM A216 WCB,Valves,Globe Valve,BS 1873,ASTM A216 WCB,2 in,,,Epoxy Coated,NOS,Audco,AUD-GV-2in-62,Singareni Collieries,Active,4971,2024-02-08,49676.97
SAIL,Steel,SAIL-300058,SPARE-GLOBE VALVE ASTM A216 WCB 2 in,Valves,Globe Valve,BS 1873,ASTM A216 WCB,2 in,,,Epoxy Coated,NOS,Audco,AUD-GV-2in-11,Bokaro Steel Plant,Active,14268,2024-05-03,49586.12
SAIL,Steel,SAIL-300059,"STORES ITEM VERTICAL TURBINE PUMP, Carbon Steel, SIZE 2 in x 1.5 in",Pumps,Vertical Turbine Pump,API 610,Carbon Steel,2 in x 1.5 in,,2 in x 1.5 in,Zinc Plated,SET,KSB,KSB-VTP-2inx1.5in-29,Bhilai Steel Plant,Active,1402,2025-05-02,28030.7
IOCL,Oil & Gas,IOCL-110055,VERTICAL TURBINE PUMP Carbon Steel 2 in x 1.5 in,Pumps,Vertical Turbine Pump,API 610,Carbon Steel,2 in x 1.5 in,,2 in x 1.5 in,Zinc Plated,SET,KSB,KSB-VTP-2inx1.5in-71,Panipat Refinery,Active,12728,2025-12-15,34259.74
ONGC,Oil & Gas,ONGC-100049,"STORES ITEM VERTICAL TURBINE PUMP, Carbon Steel, SIZE 2 in x 1.5 in",Pumps,Vertical Turbine Pump,API 610,Carbon Steel,2 in x 1.5 in,,2 in x 1.5 in,Zinc Plated,SET,KSB,KSB-VTP-2inx1.5in-62,Ankleshwar Asset,Active,12103,2025-06-20,24237.99
NMDC,Mining,NMDC-410054,VERTICAL TURBINE PUMP 2 in x 1.5 in Carbon Steel,Pumps,Vertical Turbine Pump,API 610,Carbon Steel,2 in x 1.5 in,,2 in x 1.5 in,Zinc Plated,SET,KSB,KSB-VTP-2inx1.5in-35,Bailadila Iron Ore Mine,Active,6826,2025-03-09,26403.28
NTPC,Power,NTPC-200049,"SPARE-Vertical Turbine Pump, Carbon Steel, SIZE 2 in x 1.5 in",Pumps,Vertical Turbine Pump,API 610,Carbon Steel,2 in x 1.5 in,,2 in x 1.5 in,Zinc Plated,SET,KSB,KSB-VTP-2inx1.5in-42,Ramagundam STPS,Obsolete,10146,2025-03-28,28030.7
Coal India,Mining,CIL-400047,SPARE-Flat Washer Grade 10.9 M12 x 50,Fasteners,Flat Washer,IS 1367,Grade 10.9,M12 x 50,50 mm,,Zinc Plated,NOS,Unbrako,UNB-FW-M12x50-02,Singareni Collieries,Active,5487,2024-08-02,1743.94
IOCL,Oil & Gas,IOCL-110056,"FLAT WASHER, Grade 10.9, SIZE M12 x 50",Fasteners,Flat Washer,IS 1367,Grade 10.9,M12 x 50,50 mm,,Zinc Plated,NOS,Unbrako,UNB-FW-M12x50-27,Gujarat Refinery,Active,10998,2024-01-19,2529.88
SAIL,Steel,SAIL-300060,"SPARE-Flat Washer, Grade 10.9, SIZE M12 x 50",Fasteners,Flat Washer,IS 1367,Grade 10.9,M12 x 50,50 mm,,Zinc Plated,NOS,Unbrako,UNB-FW-M12x50-33,Bhilai Steel Plant,Slow-Moving,10174,2024-10-04,1990.28
ONGC,Oil & Gas,ONGC-100050,STORES ITEM CHECK VALVE DN 100 ASTM A216 WCB,Valves,Check Valve,API 600,ASTM A216 WCB,DN 100,,,,NOS,KSB,KSB-CV-DN100-66,Sivasagar Asset,Active,8252,2025-04-13,57827.67
BHEL,Heavy Engineering,BHEL-500052,SPARE-CHECK VALVE ASTM A216 WCB DN 100,Valves,Check Valve,API 600,ASTM A216 WCB,DN 100,,,,NOS,KSB,KSB-CV-DN100-06,Hazira Complex,Active,2622,2024-01-19,75843.99
SAIL,Steel,SAIL-300061,DN 100 Check Valve - ASTM A216 WCB,Valves,Check Valve,API 600,ASTM A216 WCB,DN 100,,,,NOS,KSB,KSB-CV-DN100-46,Durgapur Steel Plant,Slow-Moving,10302,2024-09-20,62054.17
BHEL,Heavy Engineering,BHEL-500053,STORES ITEM 4-20 mA Pressure Gauge - Brass,Instrumentation,Pressure Gauge,ASME B40.100,Brass,4-20 mA,,,,NOS,Yokogawa,YOK-PG-4-20mA-54,Trichy Complex,Slow-Moving,5445,2025-04-04,60101.25
SAIL,Steel,SAIL-300062,IND.4-20 mA Pressure Gauge - Brass,Instrumentation,Pressure Gauge,ASME B40.100,Brass,4-20 mA,,,,NOS,Yokogawa,YOK-PG-4-20mA-84,Rourkela Steel Plant,Active,14773,2025-06-20,60101.25
ONGC,Oil & Gas,ONGC-100051,SPARE-Pressure Gauge 4-20 mA Brass,Instrumentation,Pressure Gauge,ASME B40.100,Brass,4-20 mA,,,,NOS,Yokogawa,YOK-PG-4-20mA-99,Sivasagar Asset,Active,11837,2024-05-01,68063.99
HPCL,Oil & Gas,HPCL-120057,STORES ITEM PRESSURE GAUGE Brass 4-20 mA,Instrumentation,Pressure Gauge,ASME B40.100,Brass,4-20 mA,,,,NOS,Yokogawa,YOK-PG-4-20mA-94,Mumbai Refinery,Active,12266,2025-10-14,44282.66
NMDC,Mining,NMDC-410055,"IND.Pressure Gauge, Brass, SIZE 4-20 mA",Instrumentation,Pressure Gauge,ASME B40.100,Brass,4-20 mA,,,,NOS,Yokogawa,YOK-PG-4-20mA-20,Donimalai Iron Ore Mine,Active,10076,2025-09-23,68840.52
ONGC,Oil & Gas,ONGC-100052,"IND.REDUCER, Alloy Steel, SIZE DN 80",Pipes & Fittings,Reducer,ASME B16.9,Alloy Steel,DN 80,,DN 80,,MTR,Jindal Pipes,JINPIP-R-DN80-50,Ankleshwar Asset,Active,578,2025-02-22,51085.39
NMDC,Mining,NMDC-410056,"IND.Reducer, Alloy Steel, SIZE DN 80",Pipes & Fittings,Reducer,ASME B16.9,Alloy Steel,DN 80,,DN 80,,MTR,Jindal Pipes,JINPIP-R-DN80-35,Bailadila Iron Ore Mine,Active,7247,2025-09-23,53812.57
IOCL,Oil & Gas,IOCL-110057,STORES ITEM REDUCER DN 80 Alloy Steel,Pipes & Fittings,Reducer,ASME B16.9,Alloy Steel,DN 80,,DN 80,,MTR,Jindal Pipes,JINPIP-R-DN80-59,Haldia Refinery,Active,13555,2025-01-24,41797.13
BHEL,Heavy Engineering,BHEL-500054,STORES ITEM Reducer Alloy Steel DN 80,Pipes & Fittings,Reducer,ASME B16.9,Alloy Steel,DN 80,,DN 80,,MTR,Jindal Pipes,JINPIP-R-DN80-79,Ranipet Complex,Slow-Moving,744,2024-09-08,52577.1
NTPC,Power,NTPC-200050,REDUCER DN 80 Alloy Steel,Pipes & Fittings,Reducer,ASME B16.9,Alloy Steel,DN 80,,DN 80,,MTR,Jindal Pipes,JINPIP-R-DN80-95,Dadri Plant,Active,7251,2025-02-11,51085.39
NMDC,Mining,NMDC-410057,STORES ITEM EQUAL TEE DN 150 ASTM A106 Gr B,Pipes & Fittings,Equal Tee,API 5L,ASTM A106 Gr B,DN 150,6 m,25 mm,,MTR,Tata Steel,TATSTE-ET-DN150-51,Bailadila Iron Ore Mine,Active,9721,2025-12-30,33566.6
NTPC,Power,NTPC-200051,IND.EQUAL TEE DN 150 ASTM A106 Gr B,Pipes & Fittings,Equal Tee,API 5L,ASTM A106 Gr B,DN 150,6 m,25 mm,,MTR,Tata Steel,TATSTE-ET-DN150-12,Dadri Plant,Active,11620,2025-04-05,37164.77
Coal India,Mining,CIL-400048,STORES ITEM Equal Tee ASTM A106 Gr B DN 150,Pipes & Fittings,Equal Tee,API 5L,ASTM A106 Gr B,DN 150,6 m,25 mm,,MTR,Tata Steel,TATSTE-ET-DN150-68,Talcher Coalfields,Active,2849,2024-12-09,33035.97
ONGC,Oil & Gas,ONGC-100053,Equal Tee ASTM A106 Gr B DN 150,Pipes & Fittings,Equal Tee,API 5L,ASTM A106 Gr B,DN 150,6 m,25 mm,,MTR,Tata Steel,TATSTE-ET-DN150-21,Ankleshwar Asset,Active,12012,2025-04-01,33035.97
BHEL,Heavy Engineering,BHEL-500055,DN 150 Equal Tee - ASTM A106 Gr B,Pipes & Fittings,Equal Tee,API 5L,ASTM A106 Gr B,DN 150,6 m,25 mm,,MTR,Tata Steel,TATSTE-ET-DN150-16,Trichy Complex,Active,8203,2025-05-25,26226.61
SAIL,Steel,SAIL-300063,IND.Equal Tee ASTM A106 Gr B DN 150,Pipes & Fittings,Equal Tee,API 5L,ASTM A106 Gr B,DN 150,6 m,25 mm,,MTR,Tata Steel,TATSTE-ET-DN150-78,Bhilai Steel Plant,Active,7289,2024-03-22,33035.97
IOCL,Oil & Gas,IOCL-110058,"STORES ITEM Ball Valve, SS316, SIZE 4 in",Valves,Ball Valve,BS 1873,SS316,4 in,,4 in,,NOS,KSB,KSB-BV-4in-12,Haldia Refinery,Active,4709,2025-09-17,52800.54
ONGC,Oil & Gas,ONGC-100054,4 in BV - SS316,Valves,Ball Valve,BS 1873,SS316,4 in,,4 in,,NOS,KSB,KSB-BV-4in-74,Uran Plant,Obsolete,1575,2024-11-02,52800.54
Coal India,Mining,CIL-400049,SPARE-Ball Valve SS316 4 in,Valves,Ball Valve,BS 1873,SS316,4 in,,4 in,,NOS,KSB,KSB-BV-4in-09,Jharia Coalfields,Active,11430,2024-10-08,42897.71
ONGC,Oil & Gas,ONGC-100055,4C x 25 sq mm SWITCHGEAR PANEL - XLPE Insulated,Electrical,Switchgear Panel,IS 2026,XLPE Insulated,4C x 25 sq mm,500 m,,,MTR,BHEL,BHE-SP-4Cx25sqmm-93,Sivasagar Asset,Active,9473,2025-09-30,67411.74
NMDC,Mining,NMDC-410058,"STORES ITEM SWITCHGEAR PANEL, XLPE Insulated, SIZE 4C x 25 sq mm",Electrical,Switchgear Panel,IS 2026,XLPE Insulated,4C x 25 sq mm,500 m,,,MTR,BHEL,BHE-SP-4Cx25sqmm-79,Bailadila Iron Ore Mine,Slow-Moving,3862,2025-12-26,46947.25
SAIL,Steel,SAIL-300064,STORES ITEM Switchgear Panel 4C x 25 sq mm XLPE Insulated,Electrical,Switchgear Panel,IS 2026,XLPE Insulated,4C x 25 sq mm,500 m,,,MTR,BHEL,BHE-SP-4Cx25sqmm-01,Rourkela Steel Plant,Slow-Moving,3446,2025-09-22,45606.27
Coal India,Mining,CIL-400050,1/2 in NPT Level Transmitter - Brass,Instrumentation,Level Transmitter,IEC 60529,Brass,1/2 in NPT,,,,NOS,Yokogawa,YOK-LT-1-2inNPT-65,Singareni Collieries,Active,11918,2025-08-05,3954.28
SAIL,Steel,SAIL-300065,SPARE-LEVEL TRANSMITTER Brass 1/2 in NPT,Instrumentation,Level Transmitter,IEC 60529,Brass,1/2 in NPT,,,,NOS,Yokogawa,YOK-LT-1-2inNPT-23,Bhilai Steel Plant,Slow-Moving,13112,2024-02-06,5872.42
IOCL,Oil & Gas,IOCL-110059,STORES ITEM LEVEL TRANSMITTER Brass 1/2 in NPT,Instrumentation,Level Transmitter,IEC 60529,Brass,1/2 in NPT,,,,NOS,Yokogawa,YOK-LT-1-2inNPT-20,Barauni Refinery,Obsolete,967,2025-06-17,5872.42
ONGC,Oil & Gas,ONGC-100056,Reducer 2 in Alloy Steel,Pipes & Fittings,Reducer,ASME B16.5,Alloy Steel,2 in,1000 mm,2 in,,MTR,ISMT,ISM-R-2in-74,Ankleshwar Asset,Slow-Moving,12363,2024-11-11,7905.89
HPCL,Oil & Gas,HPCL-120058,STORES ITEM REDUCER 2 in Alloy Steel,Pipes & Fittings,Reducer,ASME B16.5,Alloy Steel,2 in,1000 mm,2 in,,MTR,ISMT,ISM-R-2in-91,Visakh Refinery,Active,3943,2025-01-15,8072.34
BHEL,Heavy Engineering,BHEL-500056,2 in Reducer - Alloy Steel,Pipes & Fittings,Reducer,ASME B16.5,Alloy Steel,2 in,1000 mm,2 in,,MTR,ISMT,ISM-R-2in-28,Bhopal Complex,Slow-Moving,12793,2024-07-25,6468.45
NTPC,Power,NTPC-200052,"REDUCER, Alloy Steel, SIZE 2 in",Pipes & Fittings,Reducer,ASME B16.5,Alloy Steel,2 in,1000 mm,2 in,,MTR,ISMT,ISM-R-2in-65,Dadri Plant,Active,7971,2025-06-20,8969.68
SAIL,Steel,SAIL-300066,IND.Reducer 2 in Alloy Steel,Pipes & Fittings,Reducer,ASME B16.5,Alloy Steel,2 in,1000 mm,2 in,,MTR,ISMT,ISM-R-2in-19,Durgapur Steel Plant,Active,11742,2025-06-18,6369.38
NTPC,Power,NTPC-200053,"IND.BRG BALL, Chrome Steel, SIZE 22208",Bearings,Ball Bearing,DIN 625,Chrome Steel,22208,,,,NOS,SKF,SKF-BB-22208-82,Vindhyachal STPS,Active,8770,2024-11-22,1397.02
ONGC,Oil & Gas,ONGC-100057,SPARE-Ball Bearing 22208 Chrome Steel,Bearings,Ball Bearing,DIN 625,Chrome Steel,22208,,,,NOS,SKF,SKF-BB-22208-35,Mumbai Offshore Complex,Active,10256,2025-07-27,1477.89
Coal India,Mining,CIL-400051,"SPARE-BALL BRG, Chrome Steel, SIZE 22208",Bearings,Ball Bearing,DIN 625,Chrome Steel,22208,,,,NOS,SKF,SKF-BB-22208-70,Korba Coalfields,Obsolete,13222,2024-10-17,1397.02
NMDC,Mining,NMDC-410059,BALL BRG Chrome Steel 22208,Bearings,Ball Bearing,DIN 625,Chrome Steel,22208,,,,NOS,SKF,SKF-BB-22208-10,Bailadila Iron Ore Mine,Active,525,2025-04-27,1397.02
HPCL,Oil & Gas,HPCL-120059,Ball Bearing Chrome Steel 22208,Bearings,Ball Bearing,DIN 625,Chrome Steel,22208,,,,NOS,SKF,SKF-BB-22208-14,Mumbai Refinery,Active,11595,2025-09-02,1577.33
BHEL,Heavy Engineering,BHEL-500057,STORES ITEM RUBBER GASKET NBR 100 mm,Seals,Rubber Gasket,ASME B16.20,NBR,100 mm,,,,NOS,Sealol,SEA-RG-100mm-13,Ranipet Complex,Active,3716,2024-05-27,10029.56
Coal India,Mining,CIL-400052,SPARE-100 mm Rubber Gasket - NBR,Seals,Rubber Gasket,ASME B16.20,NBR,100 mm,,,,NOS,Sealol,SEA-RG-100mm-47,Singareni Collieries,Active,545,2024-03-07,15662.81
HPCL,Oil & Gas,HPCL-120060,SPARE-100 mm Rubber Gasket - NBR,Seals,Rubber Gasket,ASME B16.20,NBR,100 mm,,,,NOS,Sealol,SEA-RG-100mm-62,Visakh Refinery,Active,2137,2025-06-04,11586.28
SAIL,Steel,SAIL-300067,Needle Bearing Chrome Steel 6408,Bearings,Needle Bearing,ABMA 9,Chrome Steel,6408,,,,NOS,SKF,SKF-NB-6408-09,Bokaro Steel Plant,Slow-Moving,7182,2025-08-03,10533.76
HPCL,Oil & Gas,HPCL-120061,Needle Bearing Chrome Steel 6408,Bearings,Needle Bearing,ABMA 9,Chrome Steel,6408,,,,NOS,SKF,SKF-NB-6408-89,Bhatinda Refinery,Active,9816,2025-04-19,9615.66
NTPC,Power,NTPC-200054,STORES ITEM NEEDLE BEARING 6408 Chrome Steel,Bearings,Needle Bearing,ABMA 9,Chrome Steel,6408,,,,NOS,SKF,SKF-NB-6408-57,Singrauli STPS,Active,11281,2025-09-02,7342.4
NMDC,Mining,NMDC-410060,"Needle Bearing, Chrome Steel, SIZE 6408",Bearings,Needle Bearing,ABMA 9,Chrome Steel,6408,,,,NOS,SKF,SKF-NB-6408-42,Donimalai Iron Ore Mine,Slow-Moving,14586,2025-08-17,9537.01
Coal India,Mining,CIL-400053,STORES ITEM 6408 Needle Bearing - Chrome Steel,Bearings,Needle Bearing,ABMA 9,Chrome Steel,6408,,,,NOS,SKF,SKF-NB-6408-97,Talcher Coalfields,Active,9518,2025-04-02,10186.16
Coal India,Mining,CIL-400054,DN 100 Reciprocating Pump - Duplex Steel,Pumps,Reciprocating Pump,IS 1520,Duplex Steel,DN 100,,,,SET,Mather+Platt,MAT-RP-DN100-08,Singareni Collieries,Active,4673,2024-02-01,101106.4
BHEL,Heavy Engineering,BHEL-500058,STORES ITEM RECIPROCATING PUMP Duplex Steel DN 100,Pumps,Reciprocating Pump,IS 1520,Duplex Steel,DN 100,,,,SET,Mather+Platt,MAT-RP-DN100-81,Ranipet Complex,Active,3510,2025-11-09,70367.68
NMDC,Mining,NMDC-410061,"STORES ITEM RECIPROCATING PUMP, Duplex Steel, SIZE DN 100",Pumps,Reciprocating Pump,IS 1520,Duplex Steel,DN 100,,,,SET,Mather+Platt,MAT-RP-DN100-25,Bailadila Iron Ore Mine,Active,14348,2025-11-17,67264.11
HPCL,Oil & Gas,HPCL-120062,STORES ITEM Reciprocating Pump Duplex Steel DN 100,Pumps,Reciprocating Pump,IS 1520,Duplex Steel,DN 100,,,,SET,Mather+Platt,MAT-RP-DN100-10,Mumbai Refinery,Obsolete,2274,2024-03-27,64861.77
NTPC,Power,NTPC-200055,STORES ITEM Reciprocating Pump Duplex Steel DN 100,Pumps,Reciprocating Pump,IS 1520,Duplex Steel,DN 100,,,,SET,Mather+Platt,MAT-RP-DN100-59,Dadri Plant,Active,7423,2025-01-28,65447.59
IOCL,Oil & Gas,IOCL-110060,IND.DN 100 RECIPROCATING PUMP - Duplex Steel,Pumps,Reciprocating Pump,IS 1520,Duplex Steel,DN 100,,,,SET,Mather+Platt,MAT-RP-DN100-55,Gujarat Refinery,Active,8998,2025-08-13,75291.34
BHEL,Heavy Engineering,BHEL-500059,STORES ITEM XLPE Cable 415V 100A XLPE Insulated,Electrical,XLPE Cable,IS 7098,XLPE Insulated,415V 100A,1000 m,,,MTR,Siemens,SIE-XC-415V100A-67,Hazira Complex,Active,8884,2025-08-16,94614.55
ONGC,Oil & Gas,ONGC-100058,STORES ITEM XLPE CABLE XLPE Insulated 415V 100A,Electrical,XLPE Cable,IS 7098,XLPE Insulated,415V 100A,1000 m,,,MTR,Siemens,SIE-XC-415V100A-44,Mumbai Offshore Complex,Active,5481,2025-03-07,96778.87
Coal India,Mining,CIL-400055,415V 100A XLPE Cable - XLPE Insulated,Electrical,XLPE Cable,IS 7098,XLPE Insulated,415V 100A,1000 m,,,MTR,Siemens,SIE-XC-415V100A-38,Singareni Collieries,Slow-Moving,9285,2024-09-23,98141.97
NTPC,Power,NTPC-200056,SPARE-XLPE Cable 415V 100A XLPE Insulated,Electrical,XLPE Cable,IS 7098,XLPE Insulated,415V 100A,1000 m,,,MTR,Siemens,SIE-XC-415V100A-75,Dadri Plant,Active,1401,2024-05-09,80351.08
NMDC,Mining,NMDC-410062,SPARE-415V 100A XLPE CABLE - XLPE Insulated,Electrical,XLPE Cable,IS 7098,XLPE Insulated,415V 100A,1000 m,,,MTR,Siemens,SIE-XC-415V100A-33,Donimalai Iron Ore Mine,Active,1877,2025-09-10,119951.29
SAIL,Steel,SAIL-300068,IND.415V 100A XLPE CABLE - XLPE Insulated,Electrical,XLPE Cable,IS 7098,XLPE Insulated,415V 100A,1000 m,,,MTR,Siemens,SIE-XC-415V100A-85,Rourkela Steel Plant,Slow-Moving,3919,2025-05-11,87757.27
NMDC,Mining,NMDC-410063,"Socket Head Screw, Grade B7, SIZE M10 x 40",Fasteners,Socket Head Screw,IS 1367,Grade B7,M10 x 40,40 mm,,,NOS,Sundram Fasteners,SUNFAS-SHS-M10x40-07,Donimalai Iron Ore Mine,Active,7852,2024-11-04,1029.11
HPCL,Oil & Gas,HPCL-120063,STORES ITEM M10 x 40 SOCKET HEAD SCREW - Grade B7,Fasteners,Socket Head Screw,IS 1367,Grade B7,M10 x 40,40 mm,,,NOS,Sundram Fasteners,SUNFAS-SHS-M10x40-30,Bhatinda Refinery,Active,14308,2025-03-21,842.0
NTPC,Power,NTPC-200057,M10 x 40 Socket Head Screw - Grade B7,Fasteners,Socket Head Screw,IS 1367,Grade B7,M10 x 40,40 mm,,,NOS,Sundram Fasteners,SUNFAS-SHS-M10x40-49,Dadri Plant,Obsolete,7124,2025-09-17,661.54
Coal India,Mining,CIL-400056,M10 x 40 SOCKET HEAD SCREW - Grade B7,Fasteners,Socket Head Screw,IS 1367,Grade B7,M10 x 40,40 mm,,,NOS,Sundram Fasteners,SUNFAS-SHS-M10x40-43,Singareni Collieries,Active,6458,2025-04-17,1170.21
SAIL,Steel,SAIL-300069,IND.M10 x 40 SOCKET HEAD SCREW - Grade B7,Fasteners,Socket Head Screw,IS 1367,Grade B7,M10 x 40,40 mm,,,NOS,Sundram Fasteners,SUNFAS-SHS-M10x40-94,Rourkela Steel Plant,Active,11073,2024-01-09,1088.88
ONGC,Oil & Gas,ONGC-100059,STORES ITEM M10 x 40 Socket Head Screw - Grade B7,Fasteners,Socket Head Screw,IS 1367,Grade B7,M10 x 40,40 mm,,,NOS,Sundram Fasteners,SUNFAS-SHS-M10x40-53,Mumbai Offshore Complex,Active,4691,2024-09-14,1121.74
Coal India,Mining,CIL-400057,SPARE-PUMP CENTRIF Cast Iron 2 in x 1.5 in,Pumps,Centrifugal Pump,API 610,Cast Iron,2 in x 1.5 in,,,,SET,KSB,KSB-CP-2inx1.5in-15,Korba Coalfields,Active,1290,2025-10-16,54768.6
ONGC,Oil & Gas,ONGC-100060,"SPARE-CENT. PUMP, Cast Iron, SIZE 2 in x 1.5 in",Pumps,Centrifugal Pump,API 610,Cast Iron,2 in x 1.5 in,,,,SET,KSB,KSB-CP-2inx1.5in-99,Rajahmundry Asset,Slow-Moving,4593,2024-03-04,63361.52
BHEL,Heavy Engineering,BHEL-500060,IND.CENT. PUMP Cast Iron 2 in x 1.5 in,Pumps,Centrifugal Pump,API 610,Cast Iron,2 in x 1.5 in,,,,SET,KSB,KSB-CP-2inx1.5in-08,Bhopal Complex,Active,3337,2025-09-16,63361.52
IOCL,Oil & Gas,IOCL-110061,IND.TEMPERATURE TRANSMITTER 0-100 bar Brass,Instrumentation,Temperature Transmitter,ASME B40.100,Brass,0-100 bar,,,,NOS,Yokogawa,YOK-TT-0-100bar-58,Haldia Refinery,Obsolete,10938,2025-02-03,79761.77
Coal India,Mining,CIL-400058,STORES ITEM TEMPERATURE TRANSMITTER Brass 0-100 bar,Instrumentation,Temperature Transmitter,ASME B40.100,Brass,0-100 bar,,,,NOS,Yokogawa,YOK-TT-0-100bar-51,Singareni Collieries,Active,11973,2024-03-12,62349.19
BHEL,Heavy Engineering,BHEL-500061,0-100 bar Temperature Transmitter - Brass,Instrumentation,Temperature Transmitter,ASME B40.100,Brass,0-100 bar,,,,NOS,Yokogawa,YOK-TT-0-100bar-50,Hazira Complex,Active,5011,2025-02-14,79761.77
SAIL,Steel,SAIL-300070,STORES ITEM 0-100 bar Temperature Transmitter - Brass,Instrumentation,Temperature Transmitter,ASME B40.100,Brass,0-100 bar,,,,NOS,Yokogawa,YOK-TT-0-100bar-47,Bhilai Steel Plant,Active,2943,2025-07-21,53158.81
ONGC,Oil & Gas,ONGC-100061,STORES ITEM TEMPERATURE TRANSMITTER 0-100 bar Brass,Instrumentation,Temperature Transmitter,ASME B40.100,Brass,0-100 bar,,,,NOS,Yokogawa,YOK-TT-0-100bar-85,Sivasagar Asset,Active,5936,2025-05-13,52468.65
HPCL,Oil & Gas,HPCL-120064,"Temperature Transmitter, Brass, SIZE 0-100 bar",Instrumentation,Temperature Transmitter,ASME B40.100,Brass,0-100 bar,,,,NOS,Yokogawa,YOK-TT-0-100bar-57,Bhatinda Refinery,Active,9764,2024-09-01,54449.55
HPCL,Oil & Gas,HPCL-120065,"Oil Seal, NBR, SIZE 2 in",Seals,Oil Seal,API 682,NBR,2 in,,,,NOS,Chesterton,CHE-OS-2in-84,Mumbai Refinery,Obsolete,654,2024-05-24,4396.0
NTPC,Power,NTPC-200058,IND.Oil Seal 2 in NBR,Seals,Oil Seal,API 682,NBR,2 in,,,,NOS,Chesterton,CHE-OS-2in-61,Singrauli STPS,Active,868,2024-11-10,4396.0
NMDC,Mining,NMDC-410064,Oil Seal 2 in NBR,Seals,Oil Seal,API 682,NBR,2 in,,,,NOS,Chesterton,CHE-OS-2in-59,Bailadila Iron Ore Mine,Active,13143,2025-09-22,5824.42
ONGC,Oil & Gas,ONGC-100062,PUMP CENTRIF DN 100 Carbon Steel,Pumps,Centrifugal Pump,API 610,Carbon Steel,DN 100,,,,SET,WPIL,WPI-CP-DN100-76,Mumbai Offshore Complex,Active,12461,2025-03-01,21023.27
Coal India,Mining,CIL-400059,IND.PUMP CENTRIF DN 100 Carbon Steel,Pumps,Centrifugal Pump,API 610,Carbon Steel,DN 100,,,,SET,WPIL,WPI-CP-DN100-71,Singareni Collieries,Active,13010,2025-10-09,20334.92
SAIL,Steel,SAIL-300071,Centrifugal Pump DN 100 Carbon Steel,Pumps,Centrifugal Pump,API 610,Carbon Steel,DN 100,,,,SET,WPIL,WPI-CP-DN100-03,Rourkela Steel Plant,Active,1510,2025-12-24,27931.52
HPCL,Oil & Gas,HPCL-120066,"IND.Centrifugal Pump, Carbon Steel, SIZE DN 100",Pumps,Centrifugal Pump,API 610,Carbon Steel,DN 100,,,,SET,WPIL,WPI-CP-DN100-54,Visakh Refinery,Active,8620,2025-04-06,27931.52
BHEL,Heavy Engineering,BHEL-500062,STORES ITEM Centrifugal Pump DN 100 Carbon Steel,Pumps,Centrifugal Pump,API 610,Carbon Steel,DN 100,,,,SET,WPIL,WPI-CP-DN100-79,Trichy Complex,Active,12871,2024-11-04,22853.06
SAIL,Steel,SAIL-300072,"INDUCTION MOTOR, XLPE Insulated, SIZE 4C x 25 sq mm",Electrical,Induction Motor,IS 7098,XLPE Insulated,4C x 25 sq mm,500 m,,,MTR,Siemens,SIE-IM-4Cx25sqmm-99,Bokaro Steel Plant,Active,2494,2025-12-02,39419.11
